"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"41","02-10",56.77,37.62,79.29,76.95,58.37,44.22,47.72,56.27,54.5,61.33,53.89,60.31,NA,37.62,79.29,57.27,"PL"
"42","02-11",55.91,37.06,78.98,76.8,57.84,43.89,47.14,55.83,54.42,60.58,53.59,60.16,NA,37.06,78.98,56.85,"PL"
"43","02-12",55.34,36.26,78.45,76.56,57.32,43.53,46.56,55.24,54.06,59.81,53.13,60.02,NA,36.26,78.45,56.3566666666667,"PL"
"44","02-13",54.49,35.26,77.93,76.07,56.78,43.22,46.09,54.63,53.7,59.08,52.27,59.95,NA,35.26,77.93,55.7891666666667,"PL"
"45","02-14",52.92,34.7,77.45,75.68,56.42,42.95,45.51,54.07,53.32,58.42,51.49,59.79,NA,34.7,77.45,55.2266666666667,"PL"
"46","02-15",50.65,34.2,77.03,75.25,56.07,42.77,45.08,53.51,52.97,57.8,50.58,59.63,NA,34.2,77.03,54.6283333333333,"PL"
"47","02-16",48.09,34.02,76.65,74.89,55.68,42.53,44.86,52.87,52.72,57.21,49.95,59.37,NA,34.02,76.65,54.07,"PL"
"48","02-17",45.95,33.96,76.3,74.46,55.27,42.21,44.69,52.47,52.47,56.64,49.52,59.15,NA,33.96,76.3,53.5908333333333,"PL"
"49","02-18",44.39,33.83,75.8,74.08,54.8,41.95,44.37,52.13,52.3,56.21,48.76,58.82,NA,33.83,75.8,53.12,"PL"
"50","02-19",42.97,33.77,75.21,73.72,54.31,41.72,44.07,51.62,52.03,55.73,48.03,58.57,NA,33.77,75.21,52.6458333333333,"PL"
"51","02-20",41.4,33.77,74.6,73.36,53.81,41.43,43.78,51.03,51.75,55.18,47.59,58.39,NA,33.77,74.6,52.1741666666667,"PL"
"52","02-21",38.98,33.77,73.95,73.02,53.43,41.25,43.54,50.36,51.48,54.55,47.46,58.09,NA,33.77,73.95,51.6566666666667,"PL"
"53","02-22",36.14,33.71,73.22,72.78,53.06,41.04,43.19,49.83,51.08,54.04,47.26,57.79,NA,33.71,73.22,51.095,"PL"
"54","02-23",33.58,33.64,72.67,72.55,52.69,40.84,42.87,49.27,50.67,53.56,46.92,57.51,NA,33.58,72.67,50.5641666666667,"PL"
"55","02-24",31.16,33.52,72.38,72.27,52.36,40.65,42.45,48.86,50.26,52.87,46.82,57.23,NA,31.16,72.38,50.0691666666667,"PL"
"56","02-25",28.88,33.46,72.01,71.95,52.13,40.33,42.04,48.34,49.85,52.28,46.78,57.31,NA,28.88,72.01,49.6133333333333,"PL"
"57","02-26",27.6,33.58,71.58,71.65,51.91,39.94,41.71,47.73,49.46,51.71,46.61,57.73,NA,27.6,71.65,49.2675,"PL"
"58","02-27",27.03,33.58,71.23,71.4,51.7,39.62,41.48,47.09,49.06,51.01,46.41,58.1,NA,27.03,71.4,48.9758333333333,"PL"
"59","02-28",26.46,33.52,70.93,71.19,51.62,39.33,41.3,46.15,48.67,50.31,46.04,58.39,NA,26.46,71.19,48.6591666666667,"PL"
"60","02-29",NA,33.46,NA,NA,NA,38.88,NA,NA,NA,49.58,NA,NA,NA,NA,NA,NA,"PL"
"61","03-01",25.75,33.4,70.62,71.12,51.51,38.44,41.1,45.26,48.16,49.17,45.79,58.51,NA,25.75,71.12,48.2358333333333,"PL"
"62","03-02",25.18,33.33,70.31,71.08,51.3,38.26,40.8,44.41,47.65,48.65,45.48,58.66,NA,25.18,71.08,47.9258333333333,"PL"
"63","03-03",24.75,33.08,70.08,71.04,51,38.14,40.54,43.7,47.26,48.13,45.14,58.84,NA,24.75,71.04,47.6416666666667,"PL"
"64","03-04",24.61,32.77,69.79,71,50.65,38.08,40.41,43.14,47.01,47.59,44.75,59.23,NA,24.61,71,47.4191666666667,"PL"
"65","03-05",24.75,32.71,69.44,70.96,50.34,37.92,40.34,42.52,46.6,47.1,44.25,59.61,NA,24.75,70.96,47.2116666666667,"PL"
"66","03-06",24.9,32.71,69.24,70.92,50.27,37.79,40.17,42.11,46.11,46.62,43.86,60.04,NA,24.9,70.92,47.0616666666667,"PL"
"67","03-07",24.61,32.71,69.07,70.87,50.02,37.52,39.81,41.65,45.82,46.23,43.49,60.33,NA,24.61,70.87,46.8441666666667,"PL"
"68","03-08",24.61,33.77,69.02,70.83,49.89,37.19,39.49,41.24,45.58,45.87,43.08,60.45,NA,24.61,70.83,46.7516666666667,"PL"
"69","03-09",24.61,33.64,68.98,70.8,49.76,36.91,39.06,40.9,45.34,45.53,42.7,60.64,NA,24.61,70.8,46.5725,"PL"
"70","03-10",24.75,33.51,69.11,70.77,49.64,36.62,38.69,40.66,45.27,45.11,42.32,60.79,NA,24.75,70.77,46.4366666666667,"PL"
"71","03-11",25.18,33.48,68.93,70.75,49.43,36.35,38.39,40.61,45.1,44.67,41.95,60.94,NA,25.18,70.75,46.315,"PL"
"72","03-12",25.75,33.56,68.47,70.63,49.17,35.95,38.15,40.45,44.91,44.32,41.63,61.11,NA,25.75,70.63,46.175,"PL"
"73","03-13",26.6,33.54,68.03,70.45,48.88,35.58,37.77,40.32,44.74,44.26,41.57,61.43,NA,26.6,70.45,46.0975,"PL"
