"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"41","02-10",64.31,56.08,62.54,59.09,54.66,56.95,51.44,51.84,50.5,55.61,51.1,43.76,NA,50.5,64.31,54.8233333333333,"IT"
"42","02-11",64.05,55.44,61.64,58.66,54,56.45,50.86,51.42,49.92,55.14,50.52,43.3,NA,49.92,64.05,54.2833333333333,"IT"
"43","02-12",64.02,54.8,60.79,58.22,53.27,55.99,50.42,50.82,49.43,54.66,49.9,42.87,NA,49.43,64.02,53.7658333333333,"IT"
"44","02-13",64.01,53.88,59.87,57.74,52.54,55.7,50.42,50.23,48.86,54.05,49.29,42.45,NA,48.86,64.01,53.2533333333333,"IT"
"45","02-14",63.65,53.12,59.07,57.41,51.97,55.43,49.86,49.64,48.29,53.53,48.69,41.93,NA,48.29,63.65,52.7158333333333,"IT"
"46","02-15",63.2,52.55,58.41,57.12,51.47,54.98,49.34,49.08,47.78,53.18,48.17,41.49,NA,47.78,63.2,52.2308333333333,"IT"
"47","02-16",62.66,52.23,57.99,56.89,50.83,54.51,48.88,48.55,47.3,52.89,47.65,41.06,NA,47.3,62.66,51.7866666666667,"IT"
"48","02-17",62.29,51.99,57.56,56.53,50.32,54.01,48.4,48.06,46.92,52.43,47.13,40.66,NA,46.92,62.29,51.3583333333333,"IT"
"49","02-18",62.12,51.86,56.85,56.18,49.69,53.47,48.05,47.64,46.42,51.94,46.61,40.28,NA,46.42,62.12,50.9258333333333,"IT"
"50","02-19",62.19,51.86,56.1,55.83,49.05,53,47.71,47.08,45.9,51.45,46.11,40.03,NA,45.9,62.19,50.5258333333333,"IT"
"51","02-20",62.21,51.36,55.24,55.4,48.39,52.57,46.63,46.53,45.37,51,45.72,39.85,NA,45.37,62.21,50.0225,"IT"
"52","02-21",61.8,50.96,54.33,55.09,47.77,52.25,46.1,45.96,44.86,50.53,45.46,39.52,NA,44.86,61.8,49.5525,"IT"
"53","02-22",61.19,50.66,53.45,54.94,47.26,51.79,45.63,45.4,44.34,50.22,45,39.21,NA,44.34,61.19,49.0908333333333,"IT"
"54","02-23",60.63,50.43,52.82,54.78,46.73,51.45,45.15,44.83,43.89,49.96,44.51,38.91,NA,43.89,60.63,48.6741666666667,"IT"
"55","02-24",59.99,50.31,52.25,54.42,46.09,51.11,44.66,44.35,43.37,49.59,44.05,38.6,NA,43.37,59.99,48.2325,"IT"
"56","02-25",59.42,50.35,51.47,54.01,45.55,50.67,44.4,43.79,42.82,49.27,43.6,38.56,NA,42.82,59.42,47.8258333333333,"IT"
"57","02-26",59.04,50.41,50.75,53.53,45.02,50.17,44.21,43.2,42.32,48.82,43.21,38.42,NA,42.32,59.04,47.425,"IT"
"58","02-27",58.69,50.25,50.09,53.09,44.53,49.7,43.81,42.62,41.96,48.32,43.06,38.21,NA,41.96,58.69,47.0275,"IT"
"59","02-28",58.4,49.98,49.56,52.7,44.07,49.3,43.37,42.03,41.6,47.86,42.89,37.82,NA,41.6,58.4,46.6316666666667,"IT"
"60","02-29",NA,49.73,NA,NA,NA,48.85,NA,NA,NA,47.47,NA,NA,NA,NA,NA,NA,"IT"
"61","03-01",57.76,49.62,49.12,52.27,43.76,48.49,43.05,41.44,41.38,47.22,42.48,37.51,NA,41.38,57.76,46.175,"IT"
"62","03-02",56.96,49.56,48.85,51.94,43.37,48.14,42.7,40.96,41.26,46.8,42.06,37.2,NA,40.96,56.96,45.8166666666667,"IT"
"63","03-03",56.16,49.63,48.57,51.54,43.05,47.7,42.33,40.53,41.17,46.37,41.65,36.87,NA,40.53,56.16,45.4641666666667,"IT"
"64","03-04",55.58,49.7,48.08,51.06,42.64,47.21,42.13,40.12,40.91,45.93,41.23,36.53,NA,40.12,55.58,45.0933333333333,"IT"
"65","03-05",55.34,49.47,47.53,50.63,42.16,46.76,41.97,39.73,40.67,45.44,40.88,36.25,NA,39.73,55.34,44.7358333333333,"IT"
"66","03-06",55.29,49.11,46.9,50.28,41.79,46.36,41.68,39.35,40.39,45.11,40.61,35.96,NA,39.35,55.29,44.4025,"IT"
"67","03-07",54.71,48.84,46.45,50.03,41.43,45.87,41.35,38.96,40.18,45.09,40.35,35.6,NA,38.96,54.71,44.0716666666667,"IT"
"68","03-08",54.15,48.6,46.16,49.88,41.09,45.26,41.05,38.6,40.1,44.94,39.92,35.24,NA,38.6,54.15,43.7491666666667,"IT"
"69","03-09",53.58,48.49,46.13,49.8,40.61,44.73,40.82,38.29,40.11,44.37,39.49,34.87,NA,38.29,53.58,43.4408333333333,"IT"
