"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"41","02-10",NA,32.32,44.34,41.34,36.37,36.21,29.53,29.93,22.01,66.13,39.29,33.24,NA,22.01,66.13,37.3372727272727,"RO"
"42","02-11",NA,31.69,43.91,40.77,35.66,35.94,28.97,29.5,21.6,68.86,38.75,32.89,NA,21.6,68.86,37.14,"RO"
"43","02-12",NA,31.07,43.34,40.22,34.96,35.67,28.45,28.96,21.13,65.26,38.05,32.55,NA,21.13,65.26,36.3327272727273,"RO"
"44","02-13",NA,30.44,42.79,39.64,34.29,35.4,27.89,28.43,20.61,64.78,37.36,32.09,NA,20.61,64.78,35.7927272727273,"RO"
"45","02-14",NA,29.83,42.3,39.12,33.64,35.31,27.34,27.89,20.13,64.29,36.68,31.6,NA,20.13,64.29,35.2845454545455,"RO"
"46","02-15",NA,29.22,41.74,38.61,33.07,35.21,26.83,27.36,19.65,63.96,36.01,31.2,NA,19.65,63.96,34.8054545454545,"RO"
"47","02-16",NA,28.63,41.19,38.11,32.46,35.18,26.34,26.81,19.28,63.71,35.35,30.85,NA,19.28,63.71,34.3554545454545,"RO"
"48","02-17",NA,28.04,40.63,37.64,31.81,35.12,25.86,26.33,18.99,63.36,34.7,30.57,NA,18.99,63.36,33.9136363636364,"RO"
"49","02-18",NA,27.47,40,37.15,31.15,34.99,25.44,25.84,18.67,63.06,34.07,30.25,NA,18.67,63.06,33.4627272727273,"RO"
"50","02-19",NA,26.9,39.35,36.63,30.49,34.78,25.05,25.3,18.39,62.75,33.44,29.98,NA,18.39,62.75,33.0054545454545,"RO"
"51","02-20",NA,26.34,38.72,36.17,29.84,34.56,24.64,24.74,18.11,62.4,32.79,29.66,NA,18.11,62.4,32.5427272727273,"RO"
"52","02-21",NA,25.8,38.11,35.69,29.25,34.34,24.25,24.21,17.6,62.06,32.35,29.34,NA,17.6,62.06,32.0909090909091,"RO"
"53","02-22",NA,25.26,37.49,35.27,28.79,34.27,23.91,23.68,17.4,61.79,31.77,29.02,NA,17.4,61.79,31.6954545454545,"RO"
"54","02-23",NA,24.73,36.9,34.86,28.36,34.24,23.62,23.14,16.91,61.58,31.18,28.69,NA,16.91,61.58,31.2918181818182,"RO"
"55","02-24",NA,24.22,36.35,34.29,28,34.18,23.44,22.62,16.42,61.34,30.67,28.37,NA,16.42,61.34,30.9,"RO"
"56","02-25",NA,23.72,35.83,33.69,27.72,33.96,23.16,22.13,15.92,61.1,30.31,28.13,NA,15.92,61.1,30.5154545454545,"RO"
"57","02-26",NA,23.31,35.32,33.1,27.42,33.79,22.9,21.65,15.44,60.94,30.08,27.99,NA,15.44,60.94,30.1763636363636,"RO"
"58","02-27",NA,22.84,34.76,32.49,27.1,33.64,22.61,21.12,15.04,60.74,29.87,27.82,NA,15.04,60.74,29.8209090909091,"RO"
"59","02-28",NA,22.32,34.17,31.9,26.94,33.57,22.38,20.51,14.69,60.43,29.59,27.41,NA,14.69,60.43,29.4463636363636,"RO"
"60","02-29",NA,21.84,NA,NA,NA,33.51,NA,NA,NA,60.22,NA,NA,NA,NA,NA,NA,"RO"
"61","03-01",NA,21.43,33.6,31.45,26.65,33.38,22.12,20.06,14.39,60.01,29.08,27.12,NA,14.39,60.01,29.0263636363636,"RO"
"62","03-02",NA,21.07,33.06,31.08,26.26,33.25,21.85,19.62,14.15,59.82,28.6,26.72,NA,14.15,59.82,28.68,"RO"
"63","03-03",NA,20.78,32.66,30.66,25.85,33.14,21.61,19.21,13.94,59.7,28.22,26.3,NA,13.94,59.7,28.37,"RO"
"64","03-04",NA,20.51,32.37,30.18,25.5,33.01,21.44,18.83,13.7,59.55,27.84,25.89,NA,13.7,59.55,28.0745454545455,"RO"
"65","03-05",NA,20.25,32.04,29.72,25.1,32.9,21.36,18.46,13.51,59.31,27.46,25.49,NA,13.51,59.31,27.7818181818182,"RO"
