"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"41","02-10",58.17,38.81,33.28,23.95,38.41,24.89,22.18,40.09,31.35,76.83,62.13,29.36,NA,22.18,76.83,39.9541666666667,"HU"
"42","02-11",57.82,38.13,32.91,23.75,37.9,24.67,22.02,39.72,31.08,76.52,61.49,28.96,NA,22.02,76.52,39.5808333333333,"HU"
"43","02-12",57.52,37.5,32.55,23.53,37.39,24.42,21.84,39.31,30.78,76.22,60.74,28.58,NA,21.84,76.22,39.1983333333333,"HU"
"44","02-13",57.13,36.83,32.25,23.29,36.88,24.24,21.58,38.84,30.47,75.89,60.03,28.18,NA,21.58,75.89,38.8008333333333,"HU"
"45","02-14",56.69,36.23,31.97,23.07,36.41,24.09,21.31,38.35,30.22,75.57,59.36,27.73,NA,21.31,75.57,38.4166666666667,"HU"
"46","02-15",56.22,35.68,31.71,22.86,35.97,23.9,21.01,37.9,29.96,75.3,58.69,27.38,NA,21.01,75.3,38.0483333333333,"HU"
"47","02-16",55.77,35.16,31.54,22.68,35.49,23.73,20.72,37.44,29.75,75.03,58.03,27,NA,20.72,75.03,37.695,"HU"
"48","02-17",55.33,34.69,31.33,22.46,34.96,23.53,20.45,36.98,29.55,74.73,57.49,26.72,NA,20.45,74.73,37.3516666666667,"HU"
"49","02-18",54.95,34.35,31.06,22.23,34.42,23.37,20.35,36.52,29.31,74.45,57.15,26.42,NA,20.35,74.45,37.0483333333333,"HU"
"50","02-19",54.68,34.01,30.8,22.03,33.91,23.18,20.27,36.06,29.09,74.19,56.82,26.14,NA,20.27,74.19,36.765,"HU"
"51","02-20",54.33,33.61,30.54,21.83,33.44,23.01,20.13,35.56,28.91,73.88,56.55,25.84,NA,20.13,73.88,36.4691666666667,"HU"
"52","02-21",53.87,33.23,30.24,21.67,33.04,22.87,20.04,35.07,28.71,73.52,56.28,25.47,NA,20.04,73.52,36.1675,"HU"
"53","02-22",53.36,32.85,29.96,21.51,32.67,22.74,19.98,34.53,28.43,73.24,56.05,25.13,NA,19.98,73.24,35.8708333333333,"HU"
"54","02-23",52.85,32.47,29.75,21.35,32.29,22.63,19.92,33.97,28.08,73.03,55.79,24.82,NA,19.92,73.03,35.5791666666667,"HU"
"55","02-24",52.34,32.25,29.62,21.2,31.94,22.45,19.85,33.39,27.74,72.77,55.58,24.58,NA,19.85,72.77,35.3091666666667,"HU"
"56","02-25",51.81,32.06,29.5,21.05,31.57,22.21,19.76,32.77,27.45,72.57,55.39,24.33,NA,19.76,72.57,35.0391666666667,"HU"
"57","02-26",51.32,31.87,29.39,20.91,31.2,21.98,19.66,31.99,27.22,72.28,55.2,24.11,NA,19.66,72.28,34.7608333333333,"HU"
