"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"18","01-18",0,92.05,88.35,78.17,52.24,46.11,47.06,67.76,71.72,89.6,45.92,84.64,NA,0,92.05,63.635,"PT"
"19","01-19",0,92.05,88.35,77.47,52.24,46.11,45.05,66.77,71.72,90.09,44.27,83.83,NA,0,92.05,63.1625,"PT"
"20","01-20",0,92.05,88.35,75.82,52.24,44.77,44.31,66.77,71.72,90.09,44.27,83.03,NA,0,92.05,62.785,"PT"
"21","01-21",0,92.05,88.35,74.08,52.24,43,44.31,66.77,71.72,89.38,44.84,83.03,NA,0,92.05,62.4808333333333,"PT"
"22","01-22",0,91.81,88.35,77.13,52.24,41.79,44.68,66.77,70.71,87.27,45.61,83.03,NA,0,91.81,62.4491666666667,"PT"
"23","01-23",0,91.81,88.35,76.4,52.24,39.85,44.76,66.77,70.71,85.04,46.38,83.03,NA,0,91.81,62.1116666666667,"PT"
"24","01-24",0,91.81,88.35,52.92,52.24,39.85,44.2,66.77,70.72,82.58,47.14,82.09,NA,0,91.81,59.8891666666667,"PT"
"25","01-25",0,92.12,88.35,52.92,52.24,39.85,44.2,66.08,70.96,82.58,47.91,81.2,NA,0,92.12,59.8675,"PT"
"26","01-26",0,92.12,88.35,52.82,52.24,39.85,44.2,66.08,71.53,82.58,48.62,80.01,NA,0,92.12,59.8666666666667,"PT"
"27","01-27",0,92.12,88.35,52.28,52.24,38.34,44.2,66.08,72.17,80.36,49.13,79,NA,0,92.12,59.5225,"PT"
"28","01-28",0,92.12,88.35,51.48,52.24,38.06,44.71,66.08,72.78,78.52,49.88,79,NA,0,92.12,59.435,"PT"
"29","01-29",0,92.12,88.35,50.6,52.24,38.06,45.38,66.08,73.34,77.06,50.62,79.61,NA,0,92.12,59.455,"PT"
"30","01-30",0,92.83,88.35,49.35,52.24,38.06,45.38,66.68,74.05,77.06,51.38,80.15,NA,0,92.83,59.6275,"PT"
"31","01-31",0,93.86,88.3,48.85,52.24,38.06,45.38,66.82,74.75,77.4,52.1,80.15,NA,0,93.86,59.8258333333333,"PT"
"32","02-01",0,94.58,88.46,48.57,52.24,38.06,44.19,66.09,75.48,78.1,52.92,80.15,NA,0,94.58,59.9033333333333,"PT"
"33","02-02",0,94.56,88.35,48.26,52.24,38.06,44.71,66.09,76.23,78.65,53.63,80.15,NA,0,94.56,60.0775,"PT"
