"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"40","02-09",38.5,38.9,35.19,41.63,37.89,44.23,32.02,27.49,35.75,50.23,35.96,30.43,NA,27.49,50.23,37.35,"Frankrijk"
"41","02-10",38.17,37.75,34.5,40.94,37,43.47,31.31,26.94,35.09,49.59,34.72,29.85,NA,26.94,49.59,36.61,"Frankrijk"
"42","02-11",37.88,36.64,33.75,40.3,36.13,42.79,30.79,26.46,34.11,48.72,33.46,29.19,NA,26.46,48.72,35.85,"Frankrijk"
"43","02-12",37.56,35.56,32.98,39.58,35.4,42.24,30.48,25.76,33.27,47.73,32.16,28.52,NA,25.76,47.73,35.1,"Frankrijk"
"44","02-13",37.24,34.51,32.12,38.82,34.79,41.84,30.04,24.97,32.53,46.81,30.95,28.13,NA,24.97,46.81,34.4,"Frankrijk"
"45","02-14",36.89,33.65,31.31,38.25,34.27,41.38,29.67,24.29,31.92,45.94,29.88,27.59,NA,24.29,45.94,33.75,"Frankrijk"
"46","02-15",36.45,32.89,30.64,37.75,33.79,40.65,29.34,23.7,31.34,45.6,28.83,27.15,NA,23.7,45.6,33.18,"Frankrijk"
"47","02-16",36.13,32.19,30.09,37.26,33.12,39.75,29.04,23.21,31.04,45.37,27.96,26.84,NA,23.21,45.37,32.67,"Frankrijk"
"48","02-17",35.79,31.52,29.51,36.64,32.46,38.86,28.69,22.7,30.8,44.93,27.26,26.5,NA,22.7,44.93,32.14,"Frankrijk"
"49","02-18",35.44,30.89,28.7,36.07,31.75,37.98,28.42,22.17,30.39,44.29,26.56,26.26,NA,22.17,44.29,31.58,"Frankrijk"
"50","02-19",35.08,30.25,27.95,35.57,31.07,37.29,28.11,21.41,30,43.59,25.93,25.9,NA,21.41,43.59,31.01,"Frankrijk"
"51","02-20",34.75,29.54,27.23,35.1,30.44,36.92,27.8,20.86,29.47,42.98,25.79,25.63,NA,20.86,42.98,30.54,"Frankrijk"
"52","02-21",34.32,28.75,26.41,34.6,29.84,36.7,27.57,20.21,29.08,42.35,25.69,25.09,NA,20.21,42.35,30.05,"Frankrijk"
"53","02-22",33.85,28.04,25.48,34.15,29.26,36.45,27.36,19.46,28.74,41.95,25.35,24.61,NA,19.46,41.95,29.56,"Frankrijk"
"54","02-23",33.44,27.47,24.52,33.76,28.51,35.96,27.05,18.58,28.7,41.68,25.26,24.26,NA,18.58,41.68,29.1,"Frankrijk"
"55","02-24",33.13,26.98,23.64,33.34,27.86,35.4,26.65,17.94,28.66,41.33,25.34,23.93,NA,17.94,41.33,28.68,"Frankrijk"
"56","02-25",32.75,26.59,22.66,32.91,27.29,34.82,26.3,17.27,28.34,40.69,25.07,23.34,NA,17.27,40.69,28.17,"Frankrijk"
"57","02-26",32.4,26.21,21.74,32.47,26.78,34.23,26.11,16.35,28.08,39.69,24.59,22.94,NA,16.35,39.69,27.63,"Frankrijk"
"58","02-27",32.05,25.76,20.96,31.96,26.23,33.82,25.91,15.42,27.97,38.72,24.21,22.61,NA,15.42,38.72,27.14,"Frankrijk"
"59","02-28",31.5,25.33,20.25,31.35,25.76,33.38,25.5,14.45,27.81,37.85,23.79,22.04,NA,14.45,37.85,26.58,"Frankrijk"
"61","03-01",31.1,24.6,19.68,30.95,25.42,31.99,25.15,13.52,27.89,36.99,23.43,21.64,NA,13.52,36.99,26.03,"Frankrijk"
"62","03-02",30.73,24.3,19.13,30.66,25.02,31.58,24.9,12.66,28.19,36.37,23.14,21.25,NA,12.66,36.37,25.66,"Frankrijk"
"63","03-03",30.34,24.02,18.61,30.21,24.56,30.92,24.7,12.09,28.55,35.59,22.77,20.91,NA,12.09,35.59,25.27,"Frankrijk"
"64","03-04",30.02,23.71,18.15,29.77,24.12,30.34,24.52,11.61,28.61,35,22.16,20.72,NA,11.61,35,24.89,"Frankrijk"
"65","03-05",29.78,23.3,17.9,29.41,23.61,29.9,24.3,11.06,28.44,34.31,21.51,20.52,NA,11.06,34.31,24.5,"Frankrijk"
"66","03-06",29.51,22.89,17.74,29.1,23.16,29.55,23.88,10.51,28.59,33.54,21.09,20.26,NA,10.51,33.54,24.15,"Frankrijk"
"67","03-07",29.21,22.5,17.6,28.83,22.86,28.89,23.5,9.96,28.63,33.13,20.66,19.66,NA,9.96,33.13,23.79,"Frankrijk"
