"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"45","02-14",33.04,34.77,36.91,49.7,48.4,43.87,29.59,33.47,30.07,0,0,28.4,NA,0,49.7,30.68,"Letland"
"46","02-15",32.07,34.01,36.53,49.25,47.95,43.44,29.3,33.11,29.76,0,0,28.03,NA,0,49.25,30.29,"Letland"
"47","02-16",31.11,33.21,36.14,48.82,47.43,43.01,29.03,32.76,29.41,0,0,27.68,NA,0,48.82,29.88,"Letland"
"48","02-17",30.17,32.46,35.74,48.37,46.91,42.54,28.8,32.42,29.08,0,0,27.21,NA,0,48.37,29.48,"Letland"
"49","02-18",29.2,31.76,35.22,47.9,46.43,42.11,28.57,32.05,28.7,0,0,26.76,NA,0,47.9,29.06,"Letland"
"50","02-19",28.24,31.11,34.62,47.45,45.98,41.7,28.36,31.52,28.34,0,0,26.36,NA,0,47.45,28.64,"Letland"
"51","02-20",27.3,30.53,34.04,47.02,45.54,41.3,28.11,30.97,27.98,0,0,26.1,NA,0,47.02,28.24,"Letland"
"52","02-21",26.37,29.97,33.45,46.58,45.15,40.9,27.84,30.39,27.53,0,0,25.64,NA,0,46.58,27.82,"Letland"
"53","02-22",25.44,29.41,32.85,46.15,44.75,40.54,27.59,29.83,27.07,0,0,25.08,NA,0,46.15,27.39,"Letland"
"54","02-23",24.51,28.84,32.31,45.74,44.35,40.18,27.38,29.31,26.7,0,0,24.63,NA,0,45.74,27,"Letland"
"55","02-24",23.57,28.3,31.8,45.45,44.06,39.77,27.14,28.84,26.37,0,0,24.53,NA,0,45.45,26.65,"Letland"
"56","02-25",22.64,27.76,31.34,44.97,43.78,39.36,26.9,28.37,26.03,0,0,24.67,NA,0,44.97,26.32,"Letland"
"57","02-26",21.77,27.19,30.88,44.5,43.49,38.96,26.69,27.81,25.68,0,0,24.75,NA,0,44.5,25.98,"Letland"
"58","02-27",20.97,26.62,30.47,44.07,43.24,38.57,26.48,27.24,25.33,0,0,24.89,NA,0,44.07,25.66,"Letland"
"59","02-28",20.16,26.11,30.06,43.65,43,38.2,26.31,26.52,24.95,0,0,24.95,NA,0,43.65,25.33,"Letland"
"61","03-01",19.39,25.22,29.62,43.23,42.75,37.28,26.12,25.77,24.48,0,0,25.17,NA,0,43.23,24.92,"Letland"
