"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"47","02-16",NA,NA,39.2,77.51,51.19,28.49,46.55,73.78,63.28,47.98,NA,NA,NA,NA,NA,NA,"United Kingdom"
"48","02-17",NA,NA,51.39,76.54,54.05,18.77,47.42,77.44,65.06,45.14,NA,NA,NA,NA,NA,NA,"United Kingdom"
"49","02-18",NA,NA,60.21,76.54,51.95,16.34,50.98,80.86,63.14,41.36,NA,NA,NA,NA,NA,NA,"United Kingdom"
"50","02-19",NA,NA,60.21,77.34,48.73,16.34,54.38,81.44,62.33,37.4,NA,NA,NA,NA,NA,NA,"United Kingdom"
"51","02-20",NA,NA,54.83,77.34,40.79,26.13,57.3,83.37,62.42,34.48,NA,NA,NA,NA,NA,NA,"United Kingdom"
"52","02-21",NA,NA,42.93,77.34,39.13,36.64,58.96,84.1,63.7,33.88,NA,NA,NA,NA,NA,NA,"United Kingdom"
"53","02-22",NA,NA,30.92,86.61,35.29,39,60.34,83.01,62.86,33.41,NA,NA,NA,NA,NA,NA,"United Kingdom"
"54","02-23",NA,NA,20.78,95.7,25.1,39,59.5,80.2,62.84,33.39,NA,NA,NA,NA,NA,NA,"United Kingdom"
"55","02-24",NA,NA,12.61,99.16,25.26,39,55.89,78.96,63.57,32.89,NA,NA,NA,NA,NA,NA,"United Kingdom"
"56","02-25",NA,NA,6.92,98.03,26.25,39,54.75,76.74,63.96,32.51,NA,NA,NA,NA,NA,NA,"United Kingdom"
"57","02-26",NA,NA,15.41,97.79,34.78,39,56.79,68.69,66.03,29.03,NA,NA,NA,NA,NA,NA,"United Kingdom"
"58","02-27",NA,NA,12.17,96.49,38.11,39,53.6,60.75,65.57,25.9,NA,NA,NA,NA,NA,NA,"United Kingdom"
"59","02-28",NA,NA,11.44,92.7,41.11,39,50.04,52.04,62.67,26.24,NA,NA,NA,NA,NA,NA,"United Kingdom"
"61","03-01",NA,NA,4.78,92.7,46.19,37.39,46.35,42.84,61.73,31.07,NA,NA,NA,NA,NA,NA,"United Kingdom"
"62","03-02",NA,NA,1.81,92.32,47.13,37.39,44.5,37.02,64.44,29.23,NA,NA,NA,NA,NA,NA,"United Kingdom"
"63","03-03",NA,NA,0.71,84.4,43.69,35.77,44.2,32.62,64.21,25.64,NA,NA,NA,NA,NA,NA,"United Kingdom"
"64","03-04",NA,NA,1.08,80.89,35.3,35.77,46.24,32.65,62.41,22.91,NA,NA,NA,NA,NA,NA,"United Kingdom"
"65","03-05",NA,NA,6.52,80.89,29.52,35.77,47.27,27.85,60.85,19.63,NA,NA,NA,NA,NA,NA,"United Kingdom"
"66","03-06",NA,NA,17.56,80.89,31.84,35.77,46.74,24.27,60.69,18.68,NA,NA,NA,NA,NA,NA,"United Kingdom"
"67","03-07",NA,NA,27.03,82.02,31.84,35.77,42.28,20.77,59.41,20.32,NA,NA,NA,NA,NA,NA,"United Kingdom"
"68","03-08",NA,NA,39.51,81.43,31.84,35.77,41.51,17.78,56.61,22.66,NA,NA,NA,NA,NA,NA,"United Kingdom"
"69","03-09",NA,NA,43.4,81.43,29.75,35.77,42.17,15.4,55.15,23.11,NA,NA,NA,NA,NA,NA,"United Kingdom"
"70","03-10",NA,NA,41.64,81.11,32.64,35.15,41.26,20.12,53.13,23.48,NA,NA,NA,NA,NA,NA,"United Kingdom"
"71","03-11",NA,NA,34.85,81.11,36.98,37.21,44.24,24.74,50.73,24.14,NA,NA,NA,NA,NA,NA,"United Kingdom"
"72","03-12",NA,NA,23.04,81.11,36.98,38.84,47.48,25.59,47.37,24.44,NA,NA,NA,NA,NA,NA,"United Kingdom"
"73","03-13",NA,NA,15.37,81.11,36.98,42.35,48.52,30.72,45.08,23.15,NA,NA,NA,NA,NA,NA,"United Kingdom"
