"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"40","02-09",43.75,61.56,47.92,43.3,42.72,45.18,31.36,40.22,46.76,83.03,48.03,20.3,NA,31.36,83.03,46.1775,"AT"
"41","02-10",43.58,60.61,47.31,42.85,41.89,44.77,30.68,39.75,46.69,82.86,47.25,19.85,NA,30.68,82.86,45.6741666666667,"AT"
"42","02-11",43.52,59.71,46.56,42.38,41.04,44.34,30.18,39.29,46.39,82.7,46.36,19.46,NA,30.18,82.7,45.1608333333333,"AT"
"43","02-12",43.53,58.83,45.79,41.98,40.25,44.03,29.69,38.58,46.16,82.56,45.56,19.36,NA,29.69,82.56,44.6933333333333,"AT"
"44","02-13",43.2,57.89,45.01,41.61,39.56,43.87,28.92,37.95,45.93,82.39,44.88,19.35,NA,28.92,82.39,44.2133333333333,"AT"
"45","02-14",42.97,57.04,44.26,41.35,38.97,43.74,28.22,37.22,45.73,82.23,44.23,18.95,NA,28.22,82.23,43.7425,"AT"
"46","02-15",42.72,56.34,43.6,41.33,38.38,43.47,27.62,36.47,45.52,82.14,43.51,18.46,NA,27.62,82.14,43.2966666666667,"AT"
"47","02-16",42.45,55.66,43.05,41.23,37.64,43.18,27.01,35.83,45.52,82.09,42.8,18.09,NA,27.01,82.09,42.8791666666667,"AT"
"48","02-17",42.2,55.11,42.49,40.88,36.86,42.9,26.46,35.44,45.57,81.95,42.2,18.1,NA,26.46,81.95,42.5133333333333,"AT"
"49","02-18",41.98,54.72,41.86,40.57,36.06,42.58,26.13,35.04,45.37,81.8,41.63,18.13,NA,26.13,81.8,42.1558333333333,"AT"
"50","02-19",41.87,54.31,41.18,40.28,35.37,42.33,25.75,34.38,45.18,81.57,41.03,18.21,NA,25.75,81.57,41.7883333333333,"AT"
"51","02-20",41.69,53.75,40.45,40.12,34.59,42.2,25.17,33.65,44.97,81.38,40.62,18.32,NA,25.17,81.38,41.4091666666667,"AT"
"52","02-21",41.26,53.3,39.69,39.98,34.01,42.15,24.66,32.93,44.89,81.18,40.27,18.23,NA,24.66,81.18,41.0458333333333,"AT"
"53","02-22",40.96,52.97,38.92,39.94,33.44,41.99,24.26,32.12,44.93,81.21,39.61,18.09,NA,24.26,81.21,40.7033333333333,"AT"
"54","02-23",40.48,52.65,38.27,39.9,32.73,41.94,23.91,31.39,44.91,81.29,39.1,17.97,NA,23.91,81.29,40.3783333333333,"AT"
"55","02-24",40.29,52.43,37.64,39.76,32.1,41.75,23.43,30.72,44.87,81.23,38.68,17.94,NA,23.43,81.23,40.07,"AT"
"56","02-25",39.87,52.33,36.87,39.61,31.51,41.47,23.06,29.97,44.65,81.13,38.37,17.82,NA,23.06,81.13,39.7216666666667,"AT"
"57","02-26",39.65,52.07,36.06,39.58,30.86,41.22,22.71,29.19,44.43,80.96,38.05,17.72,NA,22.71,80.96,39.375,"AT"
"58","02-27",39.5,51.68,35.29,39.52,30.23,41.09,22.35,28.36,44.21,80.72,37.85,17.63,NA,22.35,80.72,39.0358333333333,"AT"
"59","02-28",39.27,51.35,34.55,39.42,29.68,40.99,21.79,27.58,44,80.52,37.62,17.27,NA,21.79,80.52,38.67,"AT"
"60","02-29",NA,51.08,NA,NA,NA,40.79,NA,NA,NA,80.39,NA,NA,NA,NA,NA,NA,"AT"
"61","03-01",39.09,50.92,33.97,39.57,29.13,40.61,21.29,26.79,44.06,80.16,37.14,16.94,NA,21.29,80.16,38.3058333333333,"AT"
"62","03-02",38.92,50.76,33.48,39.74,28.44,40.49,20.85,26.05,44.19,79.82,36.63,16.55,NA,20.85,79.82,37.9933333333333,"AT"
"63","03-03",38.76,50.68,32.98,39.84,27.76,40.31,20.43,25.38,44.3,79.44,36.19,16.26,NA,20.43,79.44,37.6941666666667,"AT"
"64","03-04",38.64,50.61,32.46,39.81,27.14,40.14,20.23,24.85,44.22,79.03,35.8,15.92,NA,20.23,79.03,37.4041666666667,"AT"
"65","03-05",38.61,50.3,32.05,39.83,26.54,40.07,20.05,24.21,44.12,78.72,35.3,15.73,NA,20.05,78.72,37.1275,"AT"
"66","03-06",38.57,50.06,31.58,39.78,26.05,39.99,19.64,23.55,44.13,78.39,34.93,15.49,NA,19.64,78.39,36.8466666666667,"AT"
"67","03-07",38.41,49.83,31.2,39.74,25.83,39.78,19.22,18.23,44.29,78.1,34.57,15.08,NA,18.23,78.1,36.19,"AT"
"68","03-08",38.29,49.45,30.83,39.83,25.65,39.48,18.86,22.5,44.39,77.86,34,14.69,NA,18.86,77.86,36.3191666666667,"AT"
"69","03-09",38.06,49.27,30.5,40,25.17,39.22,18.61,22.03,44.63,77.57,33.46,14.45,NA,18.61,77.57,36.0808333333333,"AT"
