"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"45","02-14",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,54.02,51.88,6.74,NA,7.3,54.02,25.45,"Zweden"
"46","02-15",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,53.85,46.4,6.74,NA,7.3,53.85,24.32,"Zweden"
"47","02-16",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,53.85,45.22,6.74,NA,7.3,53.85,24.09,"Zweden"
"48","02-17",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,53.85,45.22,6.74,NA,7.3,53.85,24.09,"Zweden"
"49","02-18",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,53.85,41.56,6.74,NA,7.3,53.85,23.35,"Zweden"
"50","02-19",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,53.85,37.14,6.74,NA,7.3,53.85,22.47,"Zweden"
"51","02-20",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,53.03,35.51,6.74,NA,7.3,53.03,21.98,"Zweden"
"52","02-21",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,49.05,35.51,6.74,NA,7.3,49.05,21.18,"Zweden"
"53","02-22",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,49.05,35.48,6.74,NA,7.3,49.05,21.18,"Zweden"
"54","02-23",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,49.05,32.38,6.74,NA,7.3,49.05,20.56,"Zweden"
"55","02-24",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,49.05,28.02,6.74,NA,7.3,49.05,19.69,"Zweden"
"56","02-25",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,49.05,23.67,6.74,NA,7.3,49.05,18.82,"Zweden"
"57","02-26",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,45.25,23.49,6.74,NA,7.3,45.25,18.02,"Zweden"
"58","02-27",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,39.77,23.49,6.74,NA,7.3,39.77,16.92,"Zweden"
"59","02-28",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,38.75,23.49,6.74,NA,7.3,38.75,16.72,"Zweden"
"61","03-01",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,38.75,23.49,6.74,NA,7.3,38.75,16.72,"Zweden"
"62","03-02",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,38.75,23.49,6.74,NA,7.3,38.75,16.72,"Zweden"
"63","03-03",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,35.32,23.49,6.74,NA,7.3,35.32,16.03,"Zweden"
"64","03-04",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,35.32,23.49,6.74,NA,7.3,35.32,16.03,"Zweden"
"65","03-05",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,35.32,23.49,6.74,NA,7.3,35.32,16.03,"Zweden"
"66","03-06",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,35.32,23.49,6.74,NA,7.3,35.32,16.03,"Zweden"
"67","03-07",NA,NA,NA,NA,NA,NA,NA,7.3,7.32,31.09,23.49,6.74,NA,7.3,31.09,15.19,"Zweden"
"68","03-08",NA,NA,NA,NA,NA,NA,NA,7.3,7.33,30.74,23.49,6.74,NA,7.3,30.74,15.12,"Zweden"
"69","03-09",NA,NA,NA,NA,NA,NA,NA,7.3,7.33,30.74,20.1,6.74,NA,7.3,30.74,14.44,"Zweden"
"70","03-10",NA,NA,NA,NA,NA,NA,NA,7.3,7.33,30.74,17.05,6.74,NA,7.3,30.74,13.83,"Zweden"
"71","03-11",NA,NA,NA,NA,NA,NA,NA,7.3,7.33,30.74,13.31,6.74,NA,7.3,30.74,13.08,"Zweden"
"72","03-12",NA,NA,NA,NA,NA,NA,NA,7.3,7.33,28.9,12.19,6.74,NA,7.3,28.9,12.49,"Zweden"
"73","03-13",NA,NA,NA,NA,NA,NA,NA,7.3,7.33,28.9,12.19,6.74,NA,7.3,28.9,12.49,"Zweden"
"74","03-14",NA,NA,NA,NA,NA,NA,NA,7.3,7,28.9,12.19,6.74,NA,7,28.9,12.43,"Zweden"
"75","03-15",NA,NA,NA,NA,NA,NA,NA,7.3,7,28.9,12.19,6.74,NA,7,28.9,12.43,"Zweden"
"76","03-16",NA,NA,NA,NA,NA,NA,NA,7.31,7,28.9,12.19,6.74,NA,7,28.9,12.43,"Zweden"
"77","03-17",NA,NA,NA,NA,NA,NA,NA,7.31,7,28.9,12.19,6.74,NA,7,28.9,12.43,"Zweden"
"78","03-18",NA,NA,NA,NA,NA,NA,7.5,7.31,7,28.9,12.19,6.74,NA,7,28.9,12.43,"Zweden"
"79","03-19",NA,NA,NA,NA,NA,NA,7.5,7.31,7,28.9,12.19,6.74,NA,7,28.9,12.43,"Zweden"
