"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"43","02-12",0,85.77,80.49,45.48,52.23,38.48,45.41,60.69,77.63,74.39,58.56,78.09,NA,0,85.77,58.1,"Portugal"
"44","02-13",0,84.05,76.51,45.54,52.23,38.48,45.41,59.94,76.45,73.62,59.32,78.79,NA,0,84.05,57.53,"Portugal"
"45","02-14",0,82.45,73.29,45.72,52.23,38.48,45.41,59.94,76.91,72.72,59.91,79.32,NA,0,82.45,57.2,"Portugal"
"46","02-15",0,82.46,73.29,45.99,52.23,38.48,45.41,58.21,77.55,73.33,60.47,79.33,NA,0,82.46,57.23,"Portugal"
"47","02-16",0,81.87,73.29,45.65,52.23,38.48,45.41,58.21,78.19,74.1,61.25,79.59,NA,0,81.87,57.36,"Portugal"
"48","02-17",0,81.87,73.29,44.94,52.23,38.43,45.41,58.21,78.89,74.41,61.94,79.59,NA,0,81.87,57.43,"Portugal"
"49","02-18",0,81.93,73.28,44.08,52.23,38.43,45.41,58.21,79.38,74.41,62.62,79.59,NA,0,81.93,57.46,"Portugal"
"50","02-19",0,80.04,73.28,44.05,52.23,37.58,45.41,57.39,79.38,72.96,63.37,80.19,NA,0,80.04,57.16,"Portugal"
"51","02-20",0,80.03,73.28,44.4,52.23,37.58,45.41,56.56,78.58,71.69,64.08,80.89,NA,0,80.03,57.06,"Portugal"
"52","02-21",0,78.45,73.28,44.73,52.23,37.58,45.41,56.56,79.12,71.69,64.78,81.55,NA,0,79.12,57.12,"Portugal"
"53","02-22",0,78.43,73.28,45.42,52.23,37.58,44.74,56.56,79.68,72.2,65.31,81.63,NA,0,79.68,57.26,"Portugal"
"54","02-23",0,78.43,73.28,45.42,52.23,37.58,44.08,55.24,80.28,72.74,65.31,79.24,NA,0,80.28,56.99,"Portugal"
"55","02-24",0,78.43,73.28,43.33,52.23,37.87,43.41,55.79,80.96,73.21,65.64,76.87,NA,0,80.96,56.75,"Portugal"
"56","02-25",0,78.43,73.28,43.33,52.23,37.87,43.41,56.04,81.27,73.91,65.64,74.46,NA,0,81.27,56.66,"Portugal"
"57","02-26",0,78.43,73.28,43.33,52.23,37.87,43.41,54.26,81.94,74.62,65.92,74.75,NA,0,81.94,56.67,"Portugal"
"58","02-27",0,78.5,73.28,42.82,52.23,37.8,43.41,52.28,82.63,75.32,66.62,75.12,NA,0,82.63,56.67,"Portugal"
"59","02-28",0,78.43,73.32,43.34,52.23,37.8,43.41,50.24,83.11,75.97,67.1,74.05,NA,0,83.11,56.58,"Portugal"
"61","03-01",0,78.43,73.32,43.34,52.23,37.8,42.74,49.5,83.12,79.59,67.35,74.05,NA,0,83.12,56.79,"Portugal"
"62","03-02",0,78.43,73.32,43.89,52.23,37.79,42.07,49.5,83.12,80.39,65.65,74.05,NA,0,83.12,56.7,"Portugal"
"63","03-03",0,78.43,73.28,44.72,52.23,37.8,42.4,49.5,83.12,81.15,64.82,72.99,NA,0,83.12,56.7,"Portugal"
"64","03-04",0,78.43,73.32,45.03,52.23,37.48,43.13,49.5,83.12,81.83,63.98,73.21,NA,0,83.12,56.77,"Portugal"
"65","03-05",0,78.43,73.39,45.03,52.23,37.08,43.86,49.5,83.12,82.21,63.31,73.85,NA,0,83.12,56.83,"Portugal"
"66","03-06",0,78.43,73.34,44.35,52.23,36.69,44.24,48.76,83.12,82.94,63.31,74.21,NA,0,83.12,56.8,"Portugal"
"67","03-07",0,78.43,73.34,44.35,52.23,36.31,44.24,48.76,82.18,83.6,63.31,73.9,NA,0,83.6,56.72,"Portugal"
"68","03-08",0,78.43,73.34,44.35,52.23,36.9,44.26,48.76,81.14,84.32,62.16,72.83,NA,0,84.32,56.56,"Portugal"
"69","03-09",0,78.43,73.34,44.84,52.23,36.54,44.26,48.76,81.14,84.75,60.17,72.83,NA,0,84.75,56.44,"Portugal"
"70","03-10",0,78.43,73.34,45.3,52.23,36.16,44.27,49.16,81.14,84.75,60.17,72.83,NA,0,84.75,56.48,"Portugal"
"71","03-11",0,78.86,73.34,45.31,52.23,35.77,44.27,49.95,81.14,84.76,60.17,73.22,NA,0,84.76,56.58,"Portugal"
"72","03-12",0,79.28,73.34,45.74,52.23,35.55,44.27,50.72,81.14,84.76,59.06,73.33,NA,0,84.76,56.62,"Portugal"
"73","03-13",0,79.28,73.34,46.27,52.23,35.55,44.88,51.45,81.14,84.78,58.39,73.33,NA,0,84.78,56.72,"Portugal"
"74","03-14",0,79.28,73.34,46.6,52.23,35.55,45.6,51.75,79.74,85.29,58.39,73.33,NA,0,85.29,56.76,"Portugal"
"75","03-15",0,79.28,73.34,47.38,52.23,35.55,46.3,51.75,78.85,85.99,58.39,73.54,NA,0,85.99,56.88,"Portugal"
"76","03-16",0,79.28,73.34,48.24,52.23,35.55,46.3,52.18,78.85,86.71,58.9,74.24,NA,0,86.71,57.15,"Portugal"
"77","03-17",0,80.07,73.34,49.08,52.23,34.72,46.74,52.18,78.85,87.18,59.61,74.91,NA,0,87.18,57.41,"Portugal"
"78","03-18",0,80.07,73.34,49.53,52.23,33.67,47.45,52.18,78.85,87.18,60.32,75.15,NA,0,87.18,57.5,"Portugal"
"79","03-19",0,80.09,73.34,50.28,52.23,32.86,48.14,52.18,78.85,87.18,61.01,75.81,NA,0,87.18,57.66,"Portugal"
"80","03-20",0,80.07,73.34,51.09,52.23,31.54,48.42,52.18,78.85,87.18,61.58,76.52,NA,0,87.18,57.75,"Portugal"
"81","03-21",0,80.07,73.34,51.94,52.23,30.49,48.42,52.18,78.85,87.73,62.09,76.8,NA,0,87.73,57.84,"Portugal"
"82","03-22",0,80.07,73.34,52.75,52.23,29.43,48.42,50.6,78.85,88.22,61.35,76.8,NA,0,88.22,57.67,"Portugal"
"83","03-23",0,80.07,73.34,53.59,52.23,29.44,48.42,49.76,78.85,88.22,59.26,76.8,NA,0,88.22,57.5,"Portugal"
"84","03-24",0,80.07,73.34,54.48,52.23,29.27,47.59,51.93,78.85,88.86,57.26,77.18,NA,0,88.86,57.59,"Portugal"
"85","03-25",0,80.07,73.41,55.32,52.23,29.93,47.59,50.22,78.85,89.53,55.68,77.5,NA,0,89.53,57.53,"Portugal"
"86","03-26",0,80.07,73.41,56.09,52.23,30.26,48.16,50.75,78.85,90.23,55.01,81.58,NA,0,90.23,58.05,"Portugal"
"87","03-27",0,80.07,73.41,56.89,51.38,30.26,48.6,50.75,78.85,90.96,58.12,78.95,NA,0,90.96,58.19,"Portugal"
"88","03-28",0,80.07,73.41,57.69,51.38,30.57,48.6,50.75,78.85,91.67,56.41,79.28,NA,0,91.67,58.22,"Portugal"
"89","03-29",0,80.07,73.41,58.48,51.38,30.57,48.61,51.13,78.85,92.14,57.15,79.53,NA,0,92.14,58.44,"Portugal"
"90","03-30",0,80.84,73.41,59.27,51.36,30.57,48.65,51.85,82.27,92.79,57.83,79.76,NA,0,92.79,59.05,"Portugal"
"91","03-31",0,81.46,73.41,59.9,51.38,30.57,49.13,52.57,78.85,93.42,58.4,79.75,NA,0,93.42,59.07,"Portugal"
"92","04-01",0,82.03,73.41,60.69,51.38,30.57,49.13,53.29,78.02,93.86,58.73,80.06,NA,0,93.86,59.26,"Portugal"
"93","04-02",0,81.98,73.41,61.27,51.38,30.57,49.13,54.01,75.97,93.86,59.43,80.06,NA,0,93.86,59.26,"Portugal"
"94","04-03",0,81.98,73.41,62.05,51.38,30.57,49.13,54.75,74.76,94.33,60.13,80.06,NA,0,94.33,59.38,"Portugal"
"95","04-04",0,81.98,73.41,62.88,51.38,30.57,49.13,55.44,73.27,94.76,60.88,80.06,NA,0,94.76,59.48,"Portugal"
"96","04-05",0,81.98,74.05,63.74,51.38,30.57,49.39,55.44,72.27,94.76,61.23,78.89,NA,0,94.76,59.48,"Portugal"
"97","04-06",0,84.5,74.56,64.6,51.38,34.6,49.39,55.44,72.27,94.76,61.23,78.89,NA,0,94.76,60.13,"Portugal"
"98","04-07",0,85.75,73.94,65.56,51.8,47.52,49.39,56.02,72.68,94.76,60.43,78.89,NA,0,94.76,61.4,"Portugal"
"99","04-08",0,85.73,73.94,66.52,51.8,47.52,49.39,56.02,72.68,94.81,58.58,79.32,NA,0,94.81,61.36,"Portugal"
"100","04-09",0,85.73,74,67.49,51.8,48.02,49.39,56.02,72.68,95.17,57.81,79.96,NA,0,95.17,61.51,"Portugal"
"101","04-10",0,85.73,73.48,68.06,50.51,48.73,49.39,55.18,72.68,95.89,57.81,80.64,NA,0,95.89,61.51,"Portugal"
"102","04-11",0,85.73,74.24,68.56,50.51,48.89,49.39,53.49,72.68,94.26,57.81,81.43,NA,0,94.26,61.42,"Portugal"
"103","04-12",0,85.73,78.14,69.09,50.51,48.89,49.39,51.49,72.68,94.96,56.86,81.88,NA,0,94.96,61.63,"Portugal"
"104","04-13",0,86.42,78.14,69.91,50.51,48.89,49.39,50.57,72.68,94.96,54.84,81.88,NA,0,94.96,61.52,"Portugal"
"105","04-14",0,87.08,74.19,70.73,50.51,48.36,49.98,51.16,55.87,94.96,52.82,82.08,NA,0,94.96,59.81,"Portugal"
"106","04-15",0,87.1,74.19,71.14,49.74,48.04,50.7,51.93,72.68,94.96,51.97,82.75,NA,0,94.96,61.27,"Portugal"
"107","04-16",0,87.08,73.41,70.73,49.04,48.35,51.48,52.72,72.68,95.38,51.71,83.43,NA,0,95.38,61.33,"Portugal"
"108","04-17",0,87.08,72.84,70.73,48.2,48.35,52.14,53.51,73.17,95.99,51.71,84.14,NA,0,95.99,61.49,"Portugal"
"109","04-18",0,87.08,73.48,70.73,48.2,48.35,52.14,54.3,73.42,95.99,51.71,84.84,NA,0,95.99,61.69,"Portugal"
"110","04-19",0,87.53,73.48,71.18,48.2,48.35,52.14,55.08,73.42,96.59,51.82,85.53,NA,0,96.59,61.94,"Portugal"
"111","04-20",0,88.62,71.9,71.43,48.2,48.35,52.14,55.65,74.02,97.13,49.8,86.31,NA,0,97.13,61.96,"Portugal"
"112","04-21",0,88.62,71.74,71.88,48.2,48.41,52.51,55.65,74.39,97.13,47.75,87.03,NA,0,97.13,61.94,"Portugal"
"113","04-22",0,88.59,71.62,71.87,48.2,48.41,52.51,55.65,74.39,97.13,45.76,87.64,NA,0,97.13,61.81,"Portugal"
"114","04-23",0,88.88,73.48,71.68,48.2,48.41,52.51,55.65,74.73,97.13,45.11,88.34,NA,0,97.13,62.01,"Portugal"
"115","04-24",0,90.49,73.48,71.22,48.2,48.41,52.51,55.65,75.26,97.13,45.11,88.9,NA,0,97.13,62.2,"Portugal"
"116","04-25",0,91.26,73.43,71.7,48.2,48.87,52.51,55.65,75.95,97.13,45.11,88.9,NA,0,97.13,62.39,"Portugal"
"117","04-26",0,89.78,73.6,72.5,48.2,49.53,51.84,55.65,76.67,97.13,43.78,88.9,NA,0,97.13,62.3,"Portugal"
"118","04-27",0,90.57,73.57,73.28,48.61,49.67,51.84,55.65,77.34,97.13,42.83,88.9,NA,0,97.13,62.45,"Portugal"
"119","04-28",0,91.39,74.18,73.53,48.61,49.67,51.19,55.65,78.02,97.13,43.1,88.01,NA,0,97.13,62.54,"Portugal"
"120","04-29",0,92.2,73.6,73.27,47.98,49.67,51.19,55.65,78.02,97.13,43.53,88.18,NA,0,97.13,62.53,"Portugal"
"121","04-30",0,92.98,73.6,73.27,47.98,49.67,51.77,55.65,78.02,97.13,43.68,88.86,NA,0,97.13,62.72,"Portugal"
"122","05-01",0,93.03,73.6,73.78,47.98,49.67,51.77,55.65,78.64,97.77,44.46,89.14,NA,0,97.77,62.96,"Portugal"
"123","05-02",0,92.98,73.68,74.22,47.98,49.67,51.77,55.65,79.38,98.42,45.26,89.67,NA,0,98.42,63.22,"Portugal"
"124","05-03",0,93.43,73.68,75,47.98,49.67,50.78,55.65,80.1,98.42,45.64,89.67,NA,0,98.42,63.34,"Portugal"
"125","05-04",0,94.33,73.1,75.81,48.4,49.67,50.12,55.65,80.84,99.04,45.64,88.79,NA,0,99.04,63.45,"Portugal"
"126","05-05",0,95.26,73.6,76.7,49.15,49.67,50.12,55.65,81.51,99.75,45.64,88.79,NA,0,99.75,63.82,"Portugal"
"127","05-06",0,96.16,73.62,77.51,49.15,49.67,50.64,55.65,81.51,100,45.64,88.79,NA,0,100,64.03,"Portugal"
"128","05-07",0,96.13,73.62,77.51,49.15,49.67,50.67,55.65,81.51,100,45.92,89.29,NA,0,100,64.09,"Portugal"
"129","05-08",0,96.18,73.62,78.26,49.68,49.67,50.67,55.65,82.14,100,46.68,89.74,NA,0,100,64.36,"Portugal"
"130","05-09",0,96.18,73.62,78.52,50.46,49.67,50.67,55.65,82.86,100,47.53,89.74,NA,0,100,64.58,"Portugal"
"131","05-10",0,96.77,73.62,79.28,51.17,49.67,50.67,55.65,83.57,100,48.13,88.21,NA,0,100,64.73,"Portugal"
"132","05-11",0,97.66,73.41,80.05,51.17,49.67,51.01,54.71,84.25,100,48.61,88.21,NA,0,100,64.9,"Portugal"
"133","05-12",0,98.24,73.41,80.81,51.17,49.67,51.7,54.71,84.77,100,49.22,88.21,NA,0,100,65.16,"Portugal"
"134","05-13",0,98.26,73.41,81.59,51.16,49.67,52.36,55.27,85.44,100,50,88.21,NA,0,100,65.45,"Portugal"
"135","05-14",0,98.26,73.41,82.33,51.58,49.67,52.36,55.27,85.78,100,50.68,88.67,NA,0,100,65.67,"Portugal"
"136","05-15",0,98.26,73.43,83,52.32,49.67,52.36,55.27,85.78,100,51.43,89.27,NA,0,100,65.9,"Portugal"
"137","05-16",0,98.26,73.44,83.5,53.05,49.67,52.36,55.27,85.78,100,52.29,89.83,NA,0,100,66.12,"Portugal"
"138","05-17",0,98.26,73.45,83.5,53.8,49.67,52.36,55.27,86.28,100,53.08,89.8,NA,0,100,66.29,"Portugal"
"139","05-18",0,98.26,73.46,83.5,54.21,49.67,52.36,55.27,86.28,100,53.37,88.91,NA,0,100,66.27,"Portugal"
"140","05-19",0,98.26,73.48,83.5,54.49,48.78,52.36,55.27,86.28,100,53.7,88.99,NA,0,100,66.26,"Portugal"
"141","05-20",0,98.26,73.48,82.84,54.49,48.78,52.36,55.27,86.28,100,53.7,88.99,NA,0,100,66.2,"Portugal"
"142","05-21",0,98.26,73.48,82.84,54.49,48.78,52.94,53.52,86.28,100,54.15,89.45,NA,0,100,66.18,"Portugal"
"143","05-22",0,98.26,73.48,82.25,54.49,48.78,52.94,53.52,86.28,100,54.91,90.06,NA,0,100,66.25,"Portugal"
"144","05-23",0,98.26,73.48,82.25,54.49,48.78,52.94,53.52,86.28,100,55.76,90.06,NA,0,100,66.32,"Portugal"
"145","05-24",0,98.26,73.48,82.25,54.49,48.78,52.11,53.52,86.28,100,56.55,90.08,NA,0,100,66.32,"Portugal"
"146","05-25",0,98.25,73.48,82.25,54.49,48.78,51.28,53.52,86.93,100,56.99,90.54,NA,0,100,66.38,"Portugal"
"147","05-26",0,98.25,73.48,82.25,54.49,48.78,50.45,53.52,87.64,100,56.4,91,NA,0,100,66.36,"Portugal"
"148","05-27",0,98.26,76,81.84,54.49,48.78,50.61,53.52,87.94,100,56.98,91.48,NA,0,100,66.66,"Portugal"
"149","05-28",0,98.25,76.23,81.84,53.37,48.78,50.99,53.52,86.56,100,57.65,92.11,NA,0,100,66.61,"Portugal"
"150","05-29",0,96.55,76.45,81.84,53.37,48.78,51.21,53.52,86.64,100,58.36,92.44,NA,0,100,66.6,"Portugal"
"151","05-30",0,96.55,76.62,79.62,52.77,48.78,51.21,52.6,85.34,100,59.14,92.44,NA,0,100,66.26,"Portugal"
"152","05-31",0,96.55,76.84,78.41,52.77,48.78,51.21,52.47,85.34,100,59.88,92.97,NA,0,100,66.27,"Portugal"
"153","06-01",0,96.71,77.07,78.03,52.77,47.07,51.21,53.19,85.34,100,60.47,83.67,NA,0,100,65.46,"Portugal"
"154","06-02",0,97.14,77.31,76.49,51.17,45.47,51.21,53.94,85.34,99.91,61.1,83.31,NA,0,99.91,65.2,"Portugal"
"155","06-03",0,97.14,77.53,73.97,49.49,45.34,51.76,54.67,85.34,99.03,61.62,83.31,NA,0,99.03,64.93,"Portugal"
"156","06-04",0,97.13,77.77,72.59,49.49,45.34,52.47,55.43,84.44,99.03,62.15,83.84,NA,0,99.03,64.97,"Portugal"
"157","06-05",0,97.11,77.99,71.67,49.49,45.34,52.99,56.18,84.44,99.03,62.81,84.49,NA,0,99.03,65.13,"Portugal"
"158","06-06",0,97.13,78.22,71.67,49.49,45.34,52.99,56.88,84.44,99.03,63.58,84.85,NA,0,99.03,65.3,"Portugal"
"159","06-07",0,98.81,78.22,72.03,49.49,45.34,52.99,57.41,84.02,99.43,64.3,84.85,NA,0,99.43,65.57,"Portugal"
"160","06-08",0,98.17,78.22,72.81,49.49,45.34,52.99,57.42,83.82,99.43,64.64,84.87,NA,0,99.43,65.6,"Portugal"
"161","06-09",0,98.17,78.22,73.33,47.88,45.34,52.99,57.42,84.27,99.43,64.93,85.1,NA,0,99.43,65.59,"Portugal"
"162","06-10",0,98.81,78.22,73.33,47.88,45.34,53.53,58.06,84.27,98.55,65.47,85.67,NA,0,98.81,65.76,"Portugal"
"163","06-11",0,98.81,78.22,72.94,47.88,45.92,54.23,58.75,83.41,98.55,66.06,86.27,NA,0,98.81,65.92,"Portugal"
"164","06-12",0,98.81,78.22,72.1,47.88,46.6,54.76,59.44,82.4,99.13,66.78,86.91,NA,0,99.13,66.09,"Portugal"
"165","06-13",0,98.24,78.22,71.95,47.88,46.74,54.76,60.12,81.1,99.62,67.56,86.91,NA,0,99.62,66.09,"Portugal"
"166","06-14",0,98.81,78.22,72.75,47.88,47.26,54.76,60.82,79.96,99.62,67.88,86.91,NA,0,99.62,66.24,"Portugal"
"167","06-15",0,98.24,78.22,73.52,47.88,47.91,55.18,61.54,79.96,98.36,66.78,87.24,NA,0,98.36,66.24,"Portugal"
"168","06-16",0,98.24,78.22,74.11,47.88,48.39,55.18,62.28,79.96,98.36,65.53,87.24,NA,0,98.36,66.28,"Portugal"
"169","06-17",0,98.81,78.22,73.59,48.35,48.39,55.74,63.01,79.01,97.53,65.53,87.72,NA,0,98.81,66.33,"Portugal"
"170","06-18",0,96.78,78.97,72.99,49.09,48.39,55.74,63.76,78.11,97.53,64.76,88.29,NA,0,97.53,66.2,"Portugal"
"171","06-19",0,96.78,78.91,72.99,49.81,48.97,55.74,64.4,76.16,97.78,65.33,88.77,NA,0,97.78,66.3,"Portugal"
"172","06-20",0,96.78,78.94,72.07,50.14,49.12,55.74,64.4,75.67,98.46,66.1,89.37,NA,0,98.46,66.4,"Portugal"
"173","06-21",0,96.78,79.69,72.07,50.43,49.12,55.74,63.57,76.18,99.13,66.41,89.57,NA,0,99.13,66.56,"Portugal"
"174","06-22",0,96.78,79.69,72.07,50.43,49.46,55.74,64.15,76.87,99.63,65.55,89.57,NA,0,99.63,66.66,"Portugal"
"175","06-23",0,96.78,78.49,72.07,48.9,49.46,55.74,64.89,77.46,99.63,64.68,89.97,NA,0,99.63,66.51,"Portugal"
"176","06-24",0,96.78,78.49,72.07,48.9,49.46,55.74,65.62,76.52,99.63,64.68,90.52,NA,0,99.63,66.53,"Portugal"
"177","06-25",0,97.36,78.49,72.07,48.9,50.01,55.74,66.37,75.31,99.63,65.06,91.09,NA,0,99.63,66.67,"Portugal"
"178","06-26",0,95.88,78.49,72.07,48.9,50.45,55.74,66.77,75.31,99.63,65.84,91.71,NA,0,99.63,66.73,"Portugal"
"179","06-27",0,95.87,78.49,72.07,48.9,50.45,55.74,66.77,75.31,100,66.69,92.31,NA,0,100,66.88,"Portugal"
