"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"12","01-12",66.96,75.22,67.75,67.03,67.76,64.77,55.21,59.11,64.6,82.97,65.14,48.23,NA,55.21,82.97,65.3958333333333,"EU"
"13","01-13",66.64,74.85,67.29,66.65,67.27,64.3,54.5,58.63,64.43,82.46,64.31,47.54,NA,54.5,82.46,64.9058333333333,"EU"
"14","01-14",66.35,74.53,66.59,66.23,66.69,63.72,53.92,58.15,63.91,80.89,63.42,46.84,NA,53.92,80.89,64.27,"EU"
"15","01-15",66.2,74.15,65.87,65.84,66.18,63.1,53.33,57.49,63.17,81.4,62.46,46.3,NA,53.33,81.4,63.7908333333333,"EU"
"16","01-16",66.07,73.57,65.07,65.48,65.62,62.56,52.52,56.86,62.64,80.84,61.61,45.81,NA,52.52,80.84,63.2208333333333,"EU"
"17","01-17",65.68,72.94,64.22,65.14,65.11,61.98,51.61,56.17,62.07,80.28,60.8,45.19,NA,51.61,80.28,62.5991666666667,"EU"
"18","01-18",65.29,72.33,63.42,64.88,64.6,61.13,50.69,55.5,61.41,79.73,59.88,44.51,NA,50.69,79.73,61.9475,"EU"
"19","01-19",64.87,71.81,62.8,64.65,63.88,60.28,49.78,54.81,60.8,79.12,59.07,43.9,NA,49.78,79.12,61.3141666666667,"EU"
"20","01-20",64.44,71.39,62.25,64.23,63.15,59.46,48.92,54.24,60.18,78.43,58.41,43.27,NA,48.92,78.43,60.6975,"EU"
"21","01-21",63.95,71.11,61.57,63.77,62.43,58.64,48.24,53.74,59.4,77.66,57.84,42.59,NA,48.24,77.66,60.0783333333333,"EU"
"22","01-22",63.52,70.86,60.9,63.3,61.69,57.89,47.55,53.13,58.58,76.9,57.25,42.03,NA,47.55,76.9,59.4666666666667,"EU"
"23","01-23",63.15,70.47,60.16,62.8,60.94,57.34,46.67,52.61,57.6,76.16,56.7,41.49,NA,46.67,76.16,58.8408333333333,"EU"
"24","01-24",62.64,70.02,59.41,62.29,60.3,56.9,45.82,52.16,56.92,75.42,56.14,40.81,NA,45.82,75.42,58.2358333333333,"EU"
"25","01-25",62.16,69.59,58.66,61.95,59.69,56.45,44.96,51.6,56.2,74.81,55.35,40.11,NA,44.96,74.81,57.6275,"EU"
