"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"41","02-10",46.75,63.89,52.89,63.88,49.78,64.53,33.83,43.89,59.17,82.69,37.96,31.8,NA,33.83,82.69,52.59,"Duitsland"
"42","02-11",46.52,62.43,52.08,63.62,48.96,64.17,33.28,43.35,58.87,82.38,36.87,31.45,NA,33.28,82.38,52,"Duitsland"
"43","02-12",46.45,61.08,51.42,63.49,48.02,63.82,33.07,42.54,58.51,81.98,35.77,31.21,NA,33.07,81.98,51.45,"Duitsland"
"44","02-13",46.42,59.82,50.67,63.35,47.24,63.6,32.4,41.64,58.22,81.59,34.82,31.12,NA,32.4,81.59,50.91,"Duitsland"
"45","02-14",45.99,58.85,50.09,63.16,46.67,63.38,31.78,40.77,58,81.34,33.99,30.96,NA,31.78,81.34,50.42,"Duitsland"
"46","02-15",45.89,58.13,49.59,63.19,46.16,62.97,31.49,40,57.89,81.29,33.03,30.74,NA,31.49,81.29,50.03,"Duitsland"
"47","02-16",45.63,57.45,49.25,63.17,45.4,62.49,31.1,39.31,57.89,81.31,32.63,30.53,NA,31.1,81.31,49.68,"Duitsland"
"48","02-17",45.25,56.97,49.53,62.94,44.47,61.9,30.68,38.81,57.94,81.13,32.43,30.36,NA,30.68,81.13,49.37,"Duitsland"
"49","02-18",44.91,56.86,49.08,62.83,43.58,61.39,30.45,38.28,57.87,80.89,32.23,30.19,NA,30.45,80.89,49.05,"Duitsland"
"50","02-19",44.8,56.65,50.19,62.87,42.74,61.06,30.23,37.44,57.74,80.68,32.05,29.99,NA,30.23,80.68,48.87,"Duitsland"
"51","02-20",44.53,56.07,49.64,62.81,42.05,60.91,29.96,36.43,57.61,80.48,31.98,29.88,NA,29.96,80.48,48.53,"Duitsland"
"52","02-21",43.95,55.65,48.87,62.75,41.53,60.89,29.78,35.33,54.35,80.28,31.95,29.6,NA,29.78,80.28,47.91,"Duitsland"
"53","02-22",43.13,55.29,47.85,62.71,41.12,60.76,29.59,34.15,54.21,80.22,31.75,29.27,NA,29.59,80.22,47.5,"Duitsland"
"54","02-23",42.26,54.97,47.06,62.7,40.55,60.5,29.38,33.06,54.17,80.18,31.65,29.05,NA,29.38,80.18,47.13,"Duitsland"
"55","02-24",41.42,54.77,46.18,62.6,39.89,60.07,29.07,32.2,54.12,79.95,31.67,28.95,NA,29.07,79.95,46.74,"Duitsland"
"56","02-25",40.84,54.82,45.17,62.51,39.21,59.49,28.85,31.25,54.01,79.76,31.61,28.69,NA,28.85,79.76,46.35,"Duitsland"
"57","02-26",40.56,54.83,44.06,62.5,38.68,58.98,28.69,29.86,54.1,79.34,31.58,28.49,NA,28.69,79.34,45.97,"Duitsland"
"58","02-27",40.56,54.58,43.1,62.42,38.11,58.73,28.54,28.37,54.07,78.73,31.54,28.35,NA,28.37,78.73,45.59,"Duitsland"
"59","02-28",40.26,54.38,42.27,62.31,37.62,58.5,28.3,26.88,54.07,78.17,31.42,27.94,NA,26.88,78.17,45.18,"Duitsland"
"61","03-01",39.81,54.33,41.68,62.2,37.49,57.61,28.07,25.56,53.9,77.95,31.05,27.38,NA,25.56,77.95,44.75,"Duitsland"
"62","03-02",39.59,54.34,41.26,62.1,36.91,57.34,27.85,24.21,53.94,77.36,30.76,26.92,NA,24.21,77.36,44.38,"Duitsland"
"63","03-03",39.21,54.38,40.86,61.97,36.21,56.96,27.66,23.31,54,77.1,30.4,26.53,NA,23.31,77.1,44.05,"Duitsland"
"64","03-04",38.83,54.42,40.35,61.8,35.56,56.54,27.66,22.71,53.99,76.78,30.1,26.16,NA,22.71,76.78,43.74,"Duitsland"
"65","03-05",38.64,54.22,39.87,61.68,35.02,56.23,27.63,22.13,53.91,76.39,29.71,25.94,NA,22.13,76.39,43.45,"Duitsland"
"66","03-06",38.51,54.08,39.63,61.61,34.67,55.92,27.45,21.57,53.84,76.16,29.42,25.72,NA,21.57,76.16,43.22,"Duitsland"
"67","03-07",38.27,53.01,39.35,61.56,34.58,55.46,27.21,21.04,53.9,75.98,29.13,25.22,NA,21.04,75.98,42.89,"Duitsland"
"68","03-08",37.99,52.84,39.02,61.59,34.61,54.96,26.98,20.48,53.92,75.94,28.64,24.81,NA,20.48,75.94,42.65,"Duitsland"
"69","03-09",37.74,52.8,38.7,61.67,34.58,54.57,26.86,20.23,53.98,75.71,28.15,24.52,NA,20.23,75.71,42.46,"Duitsland"
"70","03-10",37.78,52.93,38.26,61.72,34.51,54.16,26.78,20.12,54.02,75.56,27.91,24.64,NA,20.12,75.56,42.37,"Duitsland"
"71","03-11",37.79,53.13,37.34,61.7,34.28,53.82,26.83,20.09,53.9,75.51,27.78,24.63,NA,20.09,75.51,42.23,"Duitsland"
"72","03-12",37.88,53.12,36.22,61.64,34.04,53.69,26.88,19.92,53.77,75.48,27.73,24.73,NA,19.92,75.48,42.09,"Duitsland"
"73","03-13",38.19,53.22,35.03,61.61,33.83,53.5,26.79,19.71,53.73,75.31,27.7,24.9,NA,19.71,75.31,41.96,"Duitsland"
"74","03-14",38.36,53.37,33.92,61.58,33.65,53.18,26.75,19.39,53.68,75.12,27.56,24.84,NA,19.39,75.12,41.78,"Duitsland"
"75","03-15",38.61,53.51,32.94,61.58,33.52,52.85,26.75,19.2,53.7,75.06,27.42,24.73,NA,19.2,75.06,41.66,"Duitsland"
"76","03-16",38.86,53.71,32.22,61.59,33.43,52.51,26.84,18.95,53.8,74.94,27.24,24.72,NA,18.95,74.94,41.57,"Duitsland"
"77","03-17",38.91,53.93,31.65,61.54,33.37,52.22,26.86,18.54,53.93,74.83,27,24.67,NA,18.54,74.83,41.45,"Duitsland"
"78","03-18",38.8,54.15,30.73,61.54,33.31,52.01,27.04,18.06,53.85,74.76,26.67,24.6,NA,18.06,74.76,41.29,"Duitsland"
"79","03-19",38.78,54.16,29.92,61.51,33.24,51.91,27.23,17.36,53.73,74.59,26.45,24.81,NA,17.36,74.59,41.14,"Duitsland"
"80","03-20",38.84,54.28,29.13,61.52,33.16,51.84,27.07,16.74,53.63,74.44,26.31,24.98,NA,16.74,74.44,40.99,"Duitsland"
"81","03-21",38.86,54.78,28.31,61.53,33.1,51.72,27.36,16.11,53.62,74.28,26.25,24.52,NA,16.11,74.28,40.87,"Duitsland"
"82","03-22",38.81,55.02,27.63,61.57,32.98,51.63,27.3,15.54,53.7,74.12,25.97,24.55,NA,15.54,74.12,40.74,"Duitsland"
"83","03-23",38.81,55.32,27.05,60.86,32.77,51.47,27.3,15.18,53.93,73.72,25.77,24.65,NA,15.18,73.72,40.57,"Duitsland"
"84","03-24",39.02,55.7,26.47,60.76,32.64,51.39,27.38,15.03,54.18,73.39,25.68,25.04,NA,15.03,73.39,40.56,"Duitsland"
"85","03-25",38.68,56.08,25.75,60.33,32.46,51.32,27.58,14.93,54.2,73.03,25.65,25.16,NA,14.93,73.03,40.43,"Duitsland"
"86","03-26",38.94,56.37,25.04,60.11,32.3,51.33,27.8,14.75,54.09,72.7,25.78,25.55,NA,14.75,72.7,40.4,"Duitsland"
"87","03-27",39.18,56.56,24.38,59.98,32.1,51.35,27.84,14.6,54.04,72.55,25.94,25.87,NA,14.6,72.55,40.37,"Duitsland"
"88","03-28",39.28,56.75,23.85,60.09,32.08,51.33,28.03,14.47,54.02,72.59,26.09,26.08,NA,14.47,72.59,40.39,"Duitsland"
"89","03-29",39.4,56.98,23.27,60.16,32.11,51.27,28.21,14.33,54.05,72.52,25.91,26.28,NA,14.33,72.52,40.37,"Duitsland"
"90","03-30",39.59,57.25,22.82,60.3,32.03,51.21,28.5,14.31,54.29,72.14,26.39,26.38,NA,14.31,72.14,40.43,"Duitsland"
"91","03-31",39.85,57.47,22.38,60.37,31.89,51.48,28.62,14.46,53.98,71.55,26.38,26.27,NA,14.46,71.55,40.39,"Duitsland"
"92","04-01",46.13,56.74,21.34,60.43,31.66,51.11,29.55,14.29,55.88,72.53,27.16,26.97,NA,14.29,72.53,41.15,"Duitsland"
"93","04-02",46.51,56.69,20.18,59.97,31.23,51.21,30.08,14.25,56.09,72.37,27.29,27,NA,14.25,72.37,41.07,"Duitsland"
"94","04-03",46.96,56.78,19.73,60.15,31.01,51.44,30.19,14.26,56.3,72.26,27.54,26.99,NA,14.26,72.26,41.13,"Duitsland"
"95","04-04",47.37,56.8,19.34,60.25,30.86,51.57,30.29,14.36,55.86,72.33,27.75,26.93,NA,14.36,72.33,41.14,"Duitsland"
"96","04-05",47.72,56.73,18.97,60.48,30.73,51.3,30.35,14.37,55.82,72.5,27.78,26.8,NA,14.37,72.5,41.13,"Duitsland"
"97","04-06",48.18,56.8,18.69,60.69,30.63,51.54,30.38,14.41,56,72.66,27.51,27.11,NA,14.41,72.66,41.22,"Duitsland"
"98","04-07",48.63,56.88,18.49,60.28,30.38,51.9,30.43,14.6,56.26,72.82,27.2,27.42,NA,14.6,72.82,41.27,"Duitsland"
"99","04-08",49.12,56.88,18.19,60.48,30.14,51.87,30.59,14.88,56.44,72.98,26.85,27.8,NA,14.88,72.98,41.35,"Duitsland"
"100","04-09",49.58,56.87,17.98,60.54,30.07,51.94,30.86,15.05,56.49,73.19,26.69,28.1,NA,15.05,73.19,41.45,"Duitsland"
"101","04-10",50,56.91,17.86,60.62,30.02,52.06,31,15.15,56.48,73.46,26.66,28.43,NA,15.15,73.46,41.55,"Duitsland"
"102","04-11",49.52,56.87,17.81,60.72,30.02,52.14,31.06,15.26,56.41,73.78,26.68,28.61,NA,15.26,73.78,41.57,"Duitsland"
"103","04-12",49.88,56.89,17.81,60.93,30.01,52.25,31.08,15.4,56.34,74.17,26.26,28.92,NA,15.4,74.17,41.66,"Duitsland"
"104","04-13",50.26,56.85,17.96,61.13,29.84,52.29,31.14,15.48,56.32,74.42,25.74,29.29,NA,15.48,74.42,41.73,"Duitsland"
"105","04-14",50.46,56.87,18.26,61.28,29.77,52.35,31.23,15.67,56.36,74.42,25.26,29.71,NA,15.67,74.42,41.8,"Duitsland"
"106","04-15",50.63,56.93,18.53,61.33,29.75,52.45,31.4,15.9,56.4,74.45,24.89,30.1,NA,15.9,74.45,41.9,"Duitsland"
"107","04-16",50.94,56.86,18.95,61.43,29.76,52.58,31.51,16,56.62,74.6,24.75,30.57,NA,16,74.6,42.05,"Duitsland"
