"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"1","01-01",71.32,78.5,72.34,69.34,73.02,69.8,63.18,64.05,69.83,86.88,72.13,51.81,83.51,63.18,86.88,70.18,"Europeese Unie"
"2","01-02",71,78.42,71.94,69.18,72.54,69.44,62.62,63.73,69.46,86.41,71.62,52.88,83.5,62.62,86.41,69.94,"Europeese Unie"
"3","01-03",70.5,78.11,71.54,69,72.13,69.04,61.9,63.36,68.89,86.02,71.07,52.74,83.41,61.9,86.02,69.53,"Europeese Unie"
"4","01-04",69.89,77.8,71.23,68.85,71.71,68.46,61.21,63.02,68.34,85.65,70.32,52.48,83.35,61.21,85.65,69.08,"Europeese Unie"
"5","01-05",69.32,77.5,70.96,68.71,71.13,67.89,60.38,62.68,67.93,85.26,69.51,52.11,83.21,60.38,85.26,68.61,"Europeese Unie"
"6","01-06",68.82,77.22,70.66,68.51,70.54,67.37,59.51,62.39,67.55,84.75,68.74,51.72,83.16,59.51,84.75,68.15,"Europeese Unie"
"7","01-07",68.47,76.97,70.22,68.27,69.92,66.83,58.82,62,67.06,84.18,67.87,51.21,83.13,58.82,84.18,67.65,"Europeese Unie"
"8","01-08",68.25,76.73,69.77,68.01,69.36,66.33,58.15,61.4,66.61,83.66,66.99,50.79,83.06,58.15,83.66,67.17,"Europeese Unie"
"9","01-09",68.07,76.36,69.26,67.77,68.93,65.96,57.37,60.81,66,83.17,66.22,50.36,82.83,57.37,83.17,66.69,"Europeese Unie"
"10","01-10",67.69,75.97,68.75,67.49,68.63,65.64,56.62,60.25,65.31,82.75,65.46,49.65,82.59,56.62,82.75,66.18,"Europeese Unie"
"11","01-11",67.32,75.6,68.2,67.26,68.25,65.19,55.9,59.68,64.86,82.32,64.57,48.94,82.33,55.9,82.32,65.67,"Europeese Unie"
"12","01-12",66.96,75.22,67.75,67.03,67.76,64.77,55.21,59.11,64.6,81.91,63.71,48.22,82.12,55.21,81.91,65.19,"Europeese Unie"
"13","01-13",66.64,74.85,67.29,66.65,67.27,64.3,54.5,58.63,64.43,81.42,62.9,47.53,81.88,54.5,81.42,64.7,"Europeese Unie"
"14","01-14",66.35,74.53,66.59,66.23,66.69,63.72,53.92,58.15,63.91,80.89,62.02,46.83,81.7,53.92,80.89,64.15,"Europeese Unie"
"15","01-15",66.2,74.15,65.87,65.84,66.18,63.1,53.33,57.49,63.17,80.37,61.07,46.29,81.49,53.33,80.37,63.59,"Europeese Unie"
"16","01-16",66.07,73.57,65.07,65.48,65.62,62.56,52.52,56.86,62.64,79.83,60.24,45.8,81.07,52.52,79.83,63.02,"Europeese Unie"
"17","01-17",65.68,72.94,64.22,65.14,65.11,61.98,51.61,56.17,62.07,79.28,59.44,45.18,80.59,51.61,79.28,62.4,"Europeese Unie"
"18","01-18",65.29,72.33,63.42,64.88,64.6,61.13,50.69,55.5,61.41,78.74,58.53,44.5,NA,50.69,78.74,61.75,"Europeese Unie"
"19","01-19",64.87,71.81,62.8,64.65,63.88,60.28,49.78,54.81,60.8,78.14,57.74,43.89,NA,49.78,78.14,61.12,"Europeese Unie"
"20","01-20",64.44,71.39,62.25,64.23,63.15,59.46,48.92,54.24,60.18,77.46,57.09,43.26,NA,48.92,77.46,60.51,"Europeese Unie"
"21","01-21",63.95,71.11,61.57,63.77,62.43,58.64,48.24,53.74,59.4,76.7,56.54,42.58,NA,48.24,76.7,59.89,"Europeese Unie"
"22","01-22",63.52,70.86,60.9,63.3,61.69,57.89,47.55,53.13,58.58,75.95,55.95,42.02,NA,47.55,75.95,59.28,"Europeese Unie"
"23","01-23",63.15,70.47,60.16,62.8,60.94,57.34,46.67,52.61,57.6,75.22,55.42,41.48,NA,46.67,75.22,58.66,"Europeese Unie"
"24","01-24",62.64,70.02,59.41,62.29,60.3,56.9,45.82,52.16,56.92,74.48,54.87,40.8,NA,45.82,74.48,58.05,"Europeese Unie"
"25","01-25",62.16,69.59,58.66,61.95,59.69,56.45,44.96,51.6,56.2,73.88,54.09,40.1,NA,44.96,73.88,57.44,"Europeese Unie"
"26","01-26",61.63,69.11,58.08,61.62,58.99,56.04,44.11,51.03,55.74,73.37,53.33,39.44,NA,44.11,73.37,56.87,"Europeese Unie"
"27","01-27",61.11,68.64,57.55,61.08,58.28,55.64,43.33,50.64,55.35,72.77,52.56,38.87,NA,43.33,72.77,56.32,"Europeese Unie"
"28","01-28",60.53,68.23,56.89,60.55,57.58,55.24,42.79,50.36,54.71,72.05,51.91,38.32,NA,42.79,72.05,55.76,"Europeese Unie"
"29","01-29",60.04,67.82,56.37,59.98,56.83,54.87,42.26,49.91,54.04,71.42,51.37,37.97,NA,42.26,71.42,55.24,"Europeese Unie"
"30","01-30",59.56,67.21,55.93,59.36,56.09,54.58,41.66,49.39,53.32,71,50.87,37.63,NA,41.66,71,54.72,"Europeese Unie"
"31","01-31",58.94,66.43,55.54,58.84,55.47,54.32,41.03,48.85,52.6,70.51,50.31,37.1,NA,41.03,70.51,54.16,"Europeese Unie"
"32","02-01",58.28,65.57,55.12,58.53,54.84,54.02,40.56,48.3,51.98,70.33,49.66,36.67,NA,40.56,70.33,53.66,"Europeese Unie"
"33","02-02",57.67,64.62,54.77,57.75,54.03,53.69,40.13,47.71,51.52,70.14,49.08,36.25,NA,40.13,70.14,53.11,"Europeese Unie"
"34","02-03",57.15,63.6,54.39,57.32,53.17,53.5,39.76,47.2,51.07,69.78,48.63,35.85,NA,39.76,69.78,52.62,"Europeese Unie"
"35","02-04",56.77,62.59,53.89,57.37,52.32,53.07,39.48,46.64,50.46,69.33,48.13,35.52,NA,39.48,69.33,52.13,"Europeese Unie"
"36","02-05",56.58,61.65,53.34,56.98,51.47,52.69,39.18,45.83,49.87,68.79,47.66,35.28,NA,39.18,68.79,51.61,"Europeese Unie"
"37","02-06",56.42,60.63,52.8,56.63,50.61,52.44,38.66,44.95,49.19,68.17,47.28,35.07,NA,38.66,68.17,51.07,"Europeese Unie"
"38","02-07",56.13,59.59,52.19,56.32,49.82,52.2,38.1,44.06,48.9,67.66,46.77,34.69,NA,38.1,67.66,50.54,"Europeese Unie"
"39","02-08",55.84,58.58,51.57,56.07,49.11,51.88,37.47,43.2,48.49,67.27,45.96,34.33,NA,37.47,67.27,49.98,"Europeese Unie"
"40","02-09",55.52,57.59,51.02,55.82,48.33,51.53,36.74,42.42,48.22,66.99,45.09,33.99,NA,36.74,66.99,49.44,"Europeese Unie"
"41","02-10",55.18,56.65,50.49,55.42,47.6,51.13,36,41.88,47.95,66.65,44.21,33.59,NA,36,66.65,48.9,"Europeese Unie"
"42","02-11",54.88,55.78,49.79,55.03,46.84,50.71,35.45,41.4,47.44,66.28,43.33,33.19,NA,35.45,66.28,48.34,"Europeese Unie"
"43","02-12",54.64,54.97,49.09,54.66,46.1,50.3,35.06,40.69,46.99,65.7,42.44,32.86,NA,35.06,65.7,47.79,"Europeese Unie"
"44","02-13",54.42,54.07,48.35,54.27,45.44,50.01,34.56,39.96,46.52,65.18,41.59,32.61,NA,34.56,65.18,47.25,"Europeese Unie"
"45","02-14",54.03,53.34,47.67,53.95,44.88,49.74,34,39.3,46.13,64.76,40.84,32.27,NA,34,64.76,46.74,"Europeese Unie"
"46","02-15",53.64,52.78,47.13,53.72,44.36,49.29,33.56,38.66,45.82,64.57,40.06,31.91,NA,33.56,64.57,46.29,"Europeese Unie"
"47","02-16",53.2,52.3,46.73,53.5,43.68,48.78,33.13,38.06,45.65,64.42,39.48,31.63,NA,33.13,64.42,45.88,"Europeese Unie"
"48","02-17",52.81,51.94,46.42,53.16,42.99,48.23,32.73,37.58,45.17,64.11,39.02,31.4,NA,32.73,64.11,45.46,"Europeese Unie"
"49","02-18",52.52,51.71,45.86,52.85,42.27,47.71,32.48,37.1,45.27,63.74,38.6,31.17,NA,32.48,63.74,45.11,"Europeese Unie"
"50","02-19",52.34,51.48,45.48,52.6,41.57,47.28,32.22,36.41,45.01,63.32,38.19,30.96,NA,32.22,63.32,44.74,"Europeese Unie"
"51","02-20",52.08,51.05,44.82,52.34,40.9,47.02,31.79,35.73,44.72,62.98,37.94,30.8,NA,31.79,62.98,44.35,"Europeese Unie"
"52","02-21",51.6,50.67,44.08,52.11,40.32,46.84,31.52,34.99,43.6,62.63,37.76,30.49,NA,31.52,62.63,43.88,"Europeese Unie"
"53","02-22",51.03,50.34,43.31,51.94,39.79,46.59,31.26,34.21,43.53,62.42,37.41,30.17,NA,31.26,62.42,43.5,"Europeese Unie"
"54","02-23",50.45,50.06,42.63,51.78,39.22,46.28,30.96,33.45,43.35,62.26,37.13,29.91,NA,30.96,62.26,43.12,"Europeese Unie"
"55","02-24",49.87,49.85,42,51.54,38.63,45.9,30.57,32.77,43.17,61.97,36.96,29.67,NA,30.57,61.97,42.74,"Europeese Unie"
"56","02-25",49.4,49.75,41.3,51.29,38.07,45.44,30.29,32.04,42.9,61.66,36.72,29.45,NA,30.29,61.66,42.36,"Europeese Unie"
"57","02-26",49.07,49.65,40.65,51.02,37.55,45,30.1,31.05,42.73,61.16,36.48,29.29,NA,30.1,61.16,41.98,"Europeese Unie"
"58","02-27",48.79,49.39,40.04,50.75,37.02,44.67,29.82,30.05,42.55,60.62,36.29,29.14,NA,29.82,60.62,41.59,"Europeese Unie"
"59","02-28",48.49,49.13,39.5,50.46,36.55,44.37,29.47,28.97,42.35,60.17,36.07,28.81,NA,28.97,60.17,41.2,"Europeese Unie"
"61","03-01",48.09,48.72,39.04,50.42,36.22,43.47,29.14,28,42.24,59.76,35.72,28.47,NA,28,59.76,40.77,"Europeese Unie"
"62","03-02",47.66,48.59,38.67,50.25,35.76,43.11,28.84,27.09,42.26,59.33,35.4,28.16,NA,27.09,59.33,40.43,"Europeese Unie"
"63","03-03",47.2,48.52,38.31,50,35.24,42.68,28.59,26.33,42.3,58.91,35.09,27.87,NA,26.33,58.91,40.09,"Europeese Unie"
"64","03-04",46.84,48.42,37.89,49.72,34.72,42.23,28.5,25.8,42.21,58.5,34.72,27.62,NA,25.8,58.5,39.76,"Europeese Unie"
"65","03-05",46.63,48.17,37.54,49.49,34.22,41.9,28.41,25.24,42.09,58.04,34.32,27.44,NA,25.24,58.04,39.46,"Europeese Unie"
"66","03-06",46.5,47.86,37.23,49.28,33.82,41.58,28.13,24.72,42.01,57.68,34.02,27.25,NA,24.72,57.68,39.17,"Europeese Unie"
"67","03-07",46.18,47.43,36.98,49.14,33.56,41.09,27.78,23.83,41.93,57.5,33.7,26.89,NA,23.83,57.5,38.83,"Europeese Unie"
"68","03-08",45.87,47.18,36.77,49.06,33.36,40.62,27.52,23.76,41.87,57.35,33.26,26.59,NA,23.76,57.35,38.6,"Europeese Unie"
"69","03-09",45.55,46.99,36.62,49.03,33.06,40.18,27.33,23.42,41.9,57.04,32.82,26.36,NA,23.42,57.04,38.36,"Europeese Unie"
"70","03-10",45.31,46.88,36.42,48.93,32.81,39.77,27.18,23.29,41.92,56.8,32.51,26.27,NA,23.29,56.8,38.17,"Europeese Unie"
"71","03-11",45.11,46.82,36.02,48.78,32.53,39.38,27.14,23.22,41.76,56.66,32.32,26.17,NA,23.22,56.66,37.99,"Europeese Unie"
"72","03-12",45.05,46.68,35.49,48.64,32.22,39.14,27.1,23.01,41.54,56.53,32.36,26.16,NA,23.01,56.53,37.83,"Europeese Unie"
"73","03-13",45.01,46.57,34.9,48.46,31.9,38.9,26.89,22.79,41.34,56.3,32.07,26.16,NA,22.79,56.3,37.61,"Europeese Unie"
"74","03-14",44.93,46.47,34.29,48.4,31.61,38.56,26.71,22.58,41.19,56.16,31.95,25.99,NA,22.58,56.16,37.4,"Europeese Unie"
"75","03-15",44.84,46.4,33.71,48.4,31.33,38.16,26.57,22.33,41.13,56.11,31.72,25.84,NA,22.33,56.11,37.21,"Europeese Unie"
"76","03-16",44.71,46.38,33.3,48.43,31.01,37.76,26.5,22.1,41.15,55.94,31.45,25.75,NA,22.1,55.94,37.04,"Europeese Unie"
"77","03-17",44.58,46.43,32.94,48.38,30.76,37.41,26.41,21.76,41.19,55.77,31.15,25.67,NA,21.76,55.77,36.87,"Europeese Unie"
"78","03-18",44.49,46.47,32.43,48.36,30.52,37.12,26.43,21.31,41.01,55.68,30.79,25.62,NA,21.31,55.68,36.69,"Europeese Unie"
"79","03-19",44.42,46.42,32,48.34,30.27,36.95,26.48,20.73,40.81,55.58,30.48,25.53,NA,20.73,55.58,36.5,"Europeese Unie"
"80","03-20",44.38,46.39,31.54,48.36,29.99,36.8,26.37,20.2,40.64,55.53,30.26,25.73,NA,20.2,55.53,36.35,"Europeese Unie"
"81","03-21",44.25,46.44,31.14,48.4,29.77,36.54,26.33,19.71,40.56,55.43,30.11,25.58,NA,19.71,55.43,36.19,"Europeese Unie"
"82","03-22",44.13,46.46,30.78,48.44,29.52,36.31,26.19,19.26,40.6,55.34,29.81,25.57,NA,19.26,55.34,36.03,"Europeese Unie"
"83","03-23",44.05,46.53,30.4,48.29,29.22,36.08,26.1,18.9,40.76,55.1,29.57,25.61,NA,18.9,55.1,35.88,"Europeese Unie"
"84","03-24",44.01,46.64,29.99,48.14,28.96,35.88,26.03,18.74,40.77,54.86,29.41,25.73,NA,18.74,54.86,35.76,"Europeese Unie"
"85","03-25",43.91,46.78,29.46,47.9,28.67,35.75,26.09,18.66,40.98,54.6,29.32,25.84,NA,18.66,54.6,35.66,"Europeese Unie"
"86","03-26",43.95,46.85,28.92,47.7,28.43,35.74,26.12,18.44,40.93,54.36,29.34,26.08,NA,18.44,54.36,35.57,"Europeese Unie"
"87","03-27",44,46.9,28.42,47.56,28.19,35.72,26.03,18.18,40.86,54.22,29.4,26.28,NA,18.18,54.22,35.48,"Europeese Unie"
"88","03-28",43.95,46.96,27.99,47.52,28.1,35.68,25.99,17.97,40.83,54.23,29.43,26.38,NA,17.97,54.23,35.42,"Europeese Unie"
"89","03-29",43.94,47.04,27.65,47.61,28.04,35.56,26.01,17.79,40.98,54.09,29.45,26.47,NA,17.79,54.09,35.39,"Europeese Unie"
"90","03-30",43.95,47.15,27.42,47.76,27.88,35.46,26.09,17.72,41.2,53.9,29.62,26.5,NA,17.72,53.9,35.39,"Europeese Unie"
"91","03-31",44.12,47.25,27.23,47.84,27.68,35.2,26.05,18.35,41.31,53.59,29.55,26.29,NA,18.35,53.59,35.37,"Europeese Unie"
"92","04-01",44.43,43.17,26.7,47.96,27.48,34.9,26.48,18.5,43.93,53.77,30.11,26.55,NA,18.5,53.77,35.33,"Europeese Unie"
"93","04-02",44.63,43.19,26.31,47.99,27.29,35.03,26.8,18.53,43.86,53.74,30.3,26.51,NA,18.53,53.74,35.35,"Europeese Unie"
"94","04-03",44.88,43.27,26.02,47.81,27.2,35.25,26.97,18.57,43.92,53.75,30.5,26.46,NA,18.57,53.75,35.38,"Europeese Unie"
"95","04-04",45.07,43.34,25.71,47.93,27.16,35.4,27.13,18.74,43.8,53.9,30.7,26.37,NA,18.74,53.9,35.44,"Europeese Unie"
