"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"43","02-12",40.4,39.66,40.17,48.19,41.29,33.92,34.68,17.32,28.94,63.59,34.71,26.99,NA,17.32,63.59,37.49,"België"
"44","02-13",40.05,38.61,39.79,47.5,40.5,33.11,33.77,16.51,28.1,63.12,33.68,26.12,NA,16.51,63.12,36.74,"België"
"45","02-14",39.6,38.18,38.92,46.78,40.05,32.37,33.07,16.07,27.2,62.67,33.1,25.65,NA,16.07,62.67,36.14,"België"
"46","02-15",39.16,37.31,38.83,46.09,39.52,31.15,32.24,15.64,27.02,62.98,31.9,24.8,NA,15.64,62.98,35.55,"België"
"47","02-16",38.69,37.04,38.35,46.07,38.71,30.12,31.44,15.26,27.08,63.31,31.62,23.99,NA,15.26,63.31,35.14,"België"
"48","02-17",37.66,36.7,38.13,46.19,37.31,29.18,30.48,15.06,27.34,63.49,31.38,23.38,NA,15.06,63.49,34.69,"België"
"49","02-18",37.48,36.39,38.05,45.72,36.13,28.13,29.69,14.66,27.17,63.79,31.04,22.76,NA,14.66,63.79,34.25,"België"
"50","02-19",37.34,36.25,37.96,45.18,34.93,27.08,28.78,14.2,26.93,64.1,30.67,22.14,NA,14.2,64.1,33.8,"België"
"51","02-20",36.42,36.08,37.75,44.99,33.78,26.78,28.14,13.89,26.79,64.3,30.48,21.57,NA,13.89,64.3,33.41,"België"
"52","02-21",35.74,35.91,37.62,44.79,33.1,26.42,28.06,13.7,26.25,64.63,30.37,20.95,NA,13.7,64.63,33.13,"België"
"53","02-22",35.24,35.84,37.39,44.31,32.4,26.29,27.68,13.41,26.11,64.87,30.15,20.33,NA,13.41,64.87,32.84,"België"
"54","02-23",34.64,35.74,37.08,44.14,31.83,25.76,27.54,13.14,26.04,65.15,29.99,20.17,NA,13.14,65.15,32.6,"België"
