"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"43","02-12",NA,NA,NA,NA,69.76,55.48,29.75,54.32,34.66,43.66,37.86,25.93,NA,29.75,69.76,43.93,"Hongarije"
"44","02-13",NA,NA,NA,NA,69.15,55.25,29.19,53.54,34.17,43.06,37.1,25.33,NA,29.19,69.15,43.35,"Hongarije"
"45","02-14",NA,NA,NA,NA,68.59,55.11,28.63,52.82,33.95,42.66,36.36,24.74,NA,28.63,68.59,42.86,"Hongarije"
"46","02-15",NA,NA,NA,NA,68.19,54.82,28.15,52.14,31.47,42.25,35.62,24.15,NA,28.15,68.19,42.1,"Hongarije"
"47","02-16",NA,NA,NA,NA,67.88,54.54,27.72,51.43,31.08,41.84,35.17,23.57,NA,27.72,67.88,41.65,"Hongarije"
"48","02-17",NA,NA,NA,NA,67.42,54.29,27.72,50.86,30.63,41.38,34.64,23,NA,27.72,67.42,41.24,"Hongarije"
"49","02-18",NA,NA,NA,NA,66.83,54.03,27.72,50.31,30.09,40.88,33.94,22.44,NA,27.72,66.83,40.78,"Hongarije"
"50","02-19",NA,NA,NA,NA,66.2,53.73,27.51,49.62,29.7,40.31,33.55,21.88,NA,27.51,66.2,40.31,"Hongarije"
"51","02-20",NA,NA,NA,NA,65.49,53.51,27.23,48.82,29.38,39.79,33.22,21.34,NA,27.23,65.49,39.85,"Hongarije"
"52","02-21",NA,NA,NA,NA,64.91,53.34,27.07,48.09,29.03,39.26,32.83,20.8,NA,27.07,64.91,39.42,"Hongarije"
"53","02-22",NA,NA,NA,NA,64.29,53.22,27.02,47.25,28.54,38.88,32.33,20.27,NA,27.02,64.29,38.98,"Hongarije"
"54","02-23",NA,NA,NA,NA,63.77,53.14,27.01,46.43,27.97,38.6,31.92,19.76,NA,27.01,63.77,38.58,"Hongarije"
"55","02-24",NA,NA,NA,NA,63.28,52.91,27,45.66,27.42,38.24,31.47,19.25,NA,27,63.28,38.15,"Hongarije"
"56","02-25",NA,NA,NA,NA,62.77,52.57,26.94,44.78,25.09,37.88,31.07,18.75,NA,25.09,62.77,37.48,"Hongarije"
"57","02-26",NA,NA,NA,NA,62.33,52.15,26.87,43.94,24.76,37.4,30.76,18.27,NA,24.76,62.33,37.06,"Hongarije"
"58","02-27",NA,NA,NA,NA,61.71,51.9,26.86,43.11,24.42,36.95,30.42,17.78,NA,24.42,61.71,36.64,"Hongarije"
"59","02-28",NA,NA,NA,NA,61.12,51.73,26.86,42.25,24.06,36.46,30.05,17.31,NA,24.06,61.12,36.23,"Hongarije"
"61","03-01",NA,NA,NA,NA,60.69,51.37,26.77,41.4,23.83,35.54,29.7,16.84,NA,23.83,60.69,35.77,"Hongarije"
"62","03-02",NA,NA,NA,NA,60.27,51.24,26.68,40.57,23.77,35.16,29.17,16.38,NA,23.77,60.27,35.41,"Hongarije"
"63","03-03",NA,NA,NA,NA,59.87,50.9,26.63,39.74,23.75,34.97,28.86,16.38,NA,23.75,59.87,35.14,"Hongarije"
"64","03-04",NA,NA,NA,NA,59.35,50.46,26.62,39.06,23.32,34.49,28.65,16.38,NA,23.32,59.35,34.79,"Hongarije"
"65","03-05",NA,NA,NA,NA,58.82,50.2,26.61,38.34,23.32,34.02,28.41,16.38,NA,23.32,58.82,34.51,"Hongarije"
"66","03-06",NA,NA,NA,NA,58.27,50.05,26.49,37.66,23.32,33.59,28.03,16.38,NA,23.32,58.27,34.22,"Hongarije"
"67","03-07",NA,NA,NA,NA,57.77,49.66,26.3,37.09,23.32,33.38,27.58,16.38,NA,23.32,57.77,33.94,"Hongarije"
"68","03-08",NA,NA,NA,NA,57.3,49.34,26.3,36.54,23.32,33.16,27.03,16.38,NA,23.32,57.3,33.67,"Hongarije"
"69","03-09",NA,NA,NA,NA,56.75,49.05,26.3,35.97,23.32,32.79,26.63,16.38,NA,23.32,56.75,33.4,"Hongarije"
"70","03-10",NA,NA,NA,NA,56.3,48.77,26.3,35.56,23.32,32.59,26.13,16.38,NA,23.32,56.3,33.17,"Hongarije"
"71","03-11",NA,NA,NA,NA,55.76,48.4,26.3,35.39,23.08,32.38,25.76,16.38,NA,23.08,55.76,32.93,"Hongarije"
"72","03-12",NA,NA,NA,NA,55.16,48.08,26.15,35.09,22.87,32.26,25.56,16.38,NA,22.87,55.16,32.69,"Hongarije"
"73","03-13",NA,NA,NA,NA,54.59,47.7,25.96,34.82,22.55,31.98,25.32,16.38,NA,22.55,54.59,32.41,"Hongarije"
"74","03-14",NA,NA,NA,NA,54.12,47.25,25.9,34.82,22.43,31.89,24.92,16.38,NA,22.43,54.12,32.21,"Hongarije"
"75","03-15",NA,NA,NA,NA,53.73,46.66,25.84,34.41,22.24,31.69,24.46,16.38,NA,22.24,53.73,31.93,"Hongarije"
"76","03-16",NA,NA,NA,NA,53.37,46.08,25.81,33.93,22.51,31.3,24,16.38,NA,22.51,53.37,31.67,"Hongarije"
"77","03-17",NA,NA,NA,NA,52.97,45.64,25.8,33.44,22.85,31,23.49,16.38,NA,22.85,52.97,31.45,"Hongarije"
"78","03-18",NA,NA,NA,NA,52.73,45.36,25.8,32.88,22.87,30.85,23,16.42,NA,22.87,52.73,31.24,"Hongarije"
"79","03-19",NA,NA,NA,NA,52.4,45.22,25.79,32.24,22.88,30.74,22.51,16.42,NA,22.88,52.4,31.02,"Hongarije"
"80","03-20",NA,NA,NA,NA,52.07,45.17,25.78,31.55,22.88,30.68,22.03,16.42,NA,22.88,52.07,30.82,"Hongarije"
"81","03-21",NA,NA,NA,NA,51.86,44.89,26.1,30.85,22.97,30.57,21.55,16.42,NA,22.97,51.86,30.65,"Hongarije"
"82","03-22",NA,NA,NA,NA,51.58,44.61,26.28,30.16,23.08,30.31,21.09,16.42,NA,23.08,51.58,30.44,"Hongarije"
"83","03-23",NA,NA,NA,NA,51.26,44.2,26.46,29.49,23.34,29.76,20.73,16.45,NA,23.34,51.26,30.21,"Hongarije"
"84","03-24",NA,NA,NA,NA,50.96,43.84,26.63,28.86,23.7,29.2,20.39,16.47,NA,23.7,50.96,30.01,"Hongarije"
"85","03-25",NA,NA,NA,NA,50.61,43.5,26.8,28.24,23.97,28.65,20.19,16.49,NA,23.97,50.61,29.81,"Hongarije"
"86","03-26",NA,NA,NA,NA,50.34,43.33,26.88,27.75,24.17,28.1,20.17,16.53,NA,24.17,50.34,29.66,"Hongarije"
"87","03-27",NA,NA,NA,NA,49.85,43.33,26.9,27.39,24.19,27.82,20.16,16.6,NA,24.19,49.85,29.53,"Hongarije"
"88","03-28",NA,NA,NA,NA,49.33,43.25,26.94,27.39,24.31,27.8,20.09,16.62,NA,24.31,49.33,29.47,"Hongarije"
"89","03-29",NA,NA,NA,NA,48.99,43.2,27.03,27.39,24.5,27.8,19.92,16.65,NA,24.5,48.99,29.44,"Hongarije"
"90","03-30",NA,NA,NA,NA,48.87,43.2,27.19,27.04,24.79,27.58,19.92,16.68,NA,24.79,48.87,29.41,"Hongarije"
"91","03-31",NA,NA,NA,NA,48.87,43.2,27.41,26.85,24.94,27.34,19.92,16.68,NA,24.94,48.87,29.4,"Hongarije"
"92","04-01",NA,NA,NA,41.66,49.19,43.2,27.64,26.65,25.3,29.14,19.92,17.87,NA,25.3,49.19,29.86,"Hongarije"
"93","04-02",NA,NA,NA,41.57,48.94,43.2,27.95,26.27,25.74,28.91,19.92,17.72,NA,25.74,48.94,29.83,"Hongarije"
"94","04-03",NA,NA,NA,41.51,48.66,43.2,28.18,26.04,26.28,28.82,19.99,17.72,NA,26.04,48.66,29.86,"Hongarije"
"95","04-04",NA,NA,NA,41.5,48.27,43.2,28.44,26.04,26.59,28.82,20,17.72,NA,26.04,48.27,29.89,"Hongarije"
"96","04-05",NA,NA,NA,41.5,47.9,43.93,28.55,26.04,26.86,28.82,20,17.72,NA,26.04,47.9,29.98,"Hongarije"
"97","04-06",NA,NA,NA,41.5,47.45,43.93,28.78,26.04,27.24,28.82,20,17.74,NA,26.04,47.45,30,"Hongarije"
"98","04-07",NA,NA,NA,41.46,47.24,44.19,28.96,26.04,27.62,28.82,20,17.74,NA,26.04,47.24,30.08,"Hongarije"
"99","04-08",NA,NA,NA,41.43,47.03,44.6,29.15,25.9,28.01,28.97,20,17.74,NA,25.9,47.03,30.18,"Hongarije"
"100","04-09",NA,NA,NA,41.32,46.83,44.74,29.41,25.75,28.37,29.15,20.21,17.74,NA,25.75,46.83,30.27,"Hongarije"
"101","04-10",NA,NA,NA,40.94,46.78,44.88,29.59,25.75,28.52,29.4,20.58,17.74,NA,25.75,46.78,30.41,"Hongarije"
"102","04-11",NA,NA,NA,40.94,46.72,45.06,29.83,25.75,28.66,29.81,20.62,17.74,NA,25.75,46.72,30.52,"Hongarije"
"103","04-12",NA,NA,NA,40.94,46.67,45.3,29.98,25.75,28.71,30.24,20.63,17.74,NA,25.75,46.67,30.63,"Hongarije"
"104","04-13",NA,NA,NA,40.94,46.71,45.46,30.05,25.75,28.83,30.66,20.63,17.75,NA,25.75,46.71,30.73,"Hongarije"
"105","04-14",NA,NA,NA,40.94,46.67,45.6,30.27,25.83,28.99,30.72,20.63,17.75,NA,25.83,46.67,30.81,"Hongarije"
"106","04-15",NA,NA,NA,40.94,46.54,45.79,30.54,25.93,29.37,30.83,20.63,17.78,NA,25.93,46.54,30.93,"Hongarije"
"107","04-16",NA,NA,NA,40.94,46.54,45.99,30.77,26.03,29.79,30.88,20.63,17.83,NA,26.03,46.54,31.06,"Hongarije"
"108","04-17",NA,NA,NA,40.94,46.65,46.31,31.02,26.15,30.01,31.13,20.63,17.83,NA,26.15,46.65,31.22,"Hongarije"
"109","04-18",NA,NA,NA,40.99,46.82,46.53,31.04,26.3,30.46,31.5,20.66,17.83,NA,26.3,46.82,31.39,"Hongarije"
