"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"40","02-09",48.12,66.59,40.1,49.4,51.16,52,39.33,47.4,46.67,69.15,44.62,35.2,NA,39.33,69.15,49.145,"CZ"
"41","02-10",47.92,65.28,39.81,48.76,50.46,51.76,38.76,46.68,46.31,68.77,43.66,34.81,NA,38.76,68.77,48.5816666666667,"CZ"
"42","02-11",47.81,63.95,39.55,48.09,49.69,51.45,38.19,46.13,45.88,68.48,42.8,34.32,NA,38.19,68.48,48.0283333333333,"CZ"
"43","02-12",47.71,62.66,39.22,47.47,48.94,51.15,37.61,45.58,45.36,68.12,41.88,33.89,NA,37.61,68.12,47.4658333333333,"CZ"
"44","02-13",47.36,61.33,38.87,46.88,48.16,50.96,37.02,45.05,44.83,67.66,41.08,33.45,NA,37.02,67.66,46.8875,"CZ"
"45","02-14",47.02,60.44,38.44,46.27,47.45,50.77,36.45,44.43,44.53,67.27,40.25,32.97,NA,36.45,67.27,46.3575,"CZ"
"46","02-15",46.85,59.93,37.97,45.73,46.74,50.52,35.91,43.77,44.35,67.02,39.4,32.47,NA,35.91,67.02,45.8883333333333,"CZ"
"47","02-16",46.7,59.49,37.63,45.12,46.02,50.19,35.42,43.24,44.2,66.78,38.69,32.11,NA,35.42,66.78,45.4658333333333,"CZ"
"48","02-17",46.5,59.26,37.33,44.45,45.3,49.81,34.99,42.72,44.05,66.44,38.14,31.83,NA,34.99,66.44,45.0683333333333,"CZ"
"49","02-18",46.31,59.12,37,43.82,44.51,49.42,34.52,42.19,43.75,66.14,37.67,31.51,NA,34.52,66.14,44.6633333333333,"CZ"
"50","02-19",46.21,58.96,36.67,43.3,43.72,49.06,34.07,41.6,43.54,65.82,37.32,31.17,NA,34.07,65.82,44.2866666666667,"CZ"
"51","02-20",45.96,58.63,36.26,42.68,43.02,48.86,33.63,40.96,43.23,65.39,37.13,30.82,NA,33.63,65.39,43.8808333333333,"CZ"
"52","02-21",45.32,58.47,35.82,42.14,42.36,48.72,33.25,40.31,42.85,65.03,36.94,30.48,NA,33.25,65.03,43.4741666666667,"CZ"
"53","02-22",44.67,58.3,35.4,41.69,41.71,48.56,32.85,39.62,42.54,64.76,36.64,30.15,NA,32.85,64.76,43.0741666666667,"CZ"
"54","02-23",44.03,58.15,34.88,41.22,41.1,48.34,32.53,38.98,42.18,64.51,36.4,29.8,NA,32.53,64.51,42.6766666666667,"CZ"
"55","02-24",43.24,58.04,34.41,40.69,40.44,48.04,32.15,38.17,41.79,64.07,36.15,29.43,NA,32.15,64.07,42.2183333333333,"CZ"
"56","02-25",42.74,57.93,34.08,40.17,39.79,47.55,31.87,37.31,41.45,63.62,35.96,29,NA,31.87,63.62,41.7891666666667,"CZ"
"57","02-26",42.38,57.76,33.73,39.7,39.16,47.16,31.5,36.37,41.16,63.11,35.68,28.74,NA,31.5,63.11,41.3708333333333,"CZ"
"58","02-27",42.27,57.58,33.39,39.28,38.5,46.85,31.08,35.49,40.89,62.51,35.44,28.45,NA,31.08,62.51,40.9775,"CZ"
"59","02-28",42.15,57.43,32.95,38.77,37.8,46.54,30.78,34.45,40.61,61.99,35.16,28,NA,30.78,61.99,40.5525,"CZ"
"60","02-29",NA,57.37,NA,NA,NA,46.13,NA,NA,NA,61.51,NA,NA,NA,NA,NA,NA,"CZ"
"61","03-01",41.9,57.26,32.62,45.25,37.13,45.68,30.55,33.59,40.62,61.07,34.96,27.68,NA,30.55,61.07,40.6925,"CZ"
"62","03-02",41.63,57.11,32.47,45.06,36.57,45.19,30.28,32.59,40.59,60.55,34.71,27.33,NA,30.28,60.55,40.34,"CZ"
"63","03-03",41.3,56.97,32.28,44.83,35.95,44.78,30.05,31.83,40.58,59.91,34.56,26.88,NA,30.05,59.91,39.9933333333333,"CZ"
"64","03-04",41.13,56.85,32.05,44.6,35.28,44.37,29.95,31.06,40.56,59.24,34.34,26.45,NA,29.95,59.24,39.6566666666667,"CZ"
"65","03-05",41.05,56.64,31.9,44.31,34.66,44.05,29.88,30.43,40.48,58.54,33.92,26.16,NA,29.88,58.54,39.335,"CZ"
"66","03-06",40.99,56.08,31.7,44.02,34.1,43.7,29.65,29.87,40.34,57.84,33.63,25.87,NA,29.65,57.84,38.9825,"CZ"
"67","03-07",40.79,55.44,31.54,43.76,33.65,43.24,29.44,29.38,40.27,57.26,33.37,25.57,NA,29.38,57.26,38.6425,"CZ"
"68","03-08",40.45,55.16,31.42,43.6,33.23,42.8,29.31,29.04,40.23,56.66,33.01,25.36,NA,29.04,56.66,38.3558333333333,"CZ"
"69","03-09",40.36,55,31.36,43.45,32.72,42.4,29.18,28.74,40.16,56.03,32.51,25.16,NA,28.74,56.03,38.0891666666667,"CZ"
"70","03-10",40.35,54.89,31.31,43.26,32.22,41.99,29.04,28.48,40.09,55.46,32.15,25.01,NA,28.48,55.46,37.8541666666667,"CZ"
"71","03-11",40.26,54.79,30.96,43.07,31.63,41.6,28.88,28.28,39.89,54.91,31.91,24.88,NA,28.28,54.91,37.5883333333333,"CZ"
"72","03-12",40.22,54.66,30.5,42.81,31.05,41.23,28.77,28.09,39.62,54.29,31.66,24.82,NA,28.09,54.66,37.31,"CZ"
"73","03-13",40.18,54.57,29.7,42.63,30.49,40.82,28.61,27.84,39.42,53.73,31.56,24.78,NA,27.84,54.57,37.0275,"CZ"
"74","03-14",40.15,54.21,28.89,42.48,29.95,40.39,28.48,27.6,39.22,53.14,31.46,24.73,NA,27.6,54.21,36.725,"CZ"
"75","03-15",40.11,54.1,28.08,42.31,29.41,39.93,28.39,27.35,39.01,52.58,31.24,24.51,NA,27.35,54.1,36.4183333333333,"CZ"
"76","03-16",40.11,54.02,27.73,42.04,28.84,39.5,28.29,27.09,38.83,51.99,30.99,24.34,NA,27.09,54.02,36.1475,"CZ"
"77","03-17",40.11,54.03,27.45,41.9,28.28,39.17,28.22,26.74,38.7,51.48,30.76,24.36,NA,26.74,54.03,35.9333333333333,"CZ"
"78","03-18",40,54.06,27.15,41.77,27.74,38.82,28.17,26.32,38.5,51.04,30.38,24.42,NA,26.32,54.06,35.6975,"CZ"
"79","03-19",39.87,54.01,26.68,41.65,27.22,38.49,28.1,25.81,38.3,50.52,30.02,24.48,NA,25.81,54.01,35.4291666666667,"CZ"
"80","03-20",39.83,53.92,25.77,41.6,26.72,38.15,28.03,25.4,37.54,49.97,29.72,24.53,NA,25.4,53.92,35.0983333333333,"CZ"
"81","03-21",39.72,53.84,24.93,41.56,26.3,37.75,27.97,24.82,37.45,49.43,29.41,24.58,NA,24.82,53.84,34.8133333333333,"CZ"
"82","03-22",39.76,53.78,24.31,41.53,25.78,37.44,27.87,24.35,37.5,48.8,29.14,24.64,NA,24.31,53.78,34.575,"CZ"
"83","03-23",39.84,53.88,23.64,41.48,25.25,37.09,27.76,23.92,37.67,48.12,28.84,24.71,NA,23.64,53.88,34.35,"CZ"
"84","03-24",39.88,53.99,22.81,41.27,24.72,36.82,27.65,23.65,37.82,47.46,28.58,24.77,NA,22.81,53.99,34.1183333333333,"CZ"
"85","03-25",39.93,54.1,21.97,41.08,24.27,36.67,27.57,23.36,37.8,46.76,28.43,24.93,NA,21.97,54.1,33.9058333333333,"CZ"
"86","03-26",40.01,54.11,21.25,40.96,23.75,36.54,27.47,22.96,37.77,46.17,28.33,25.16,NA,21.25,54.11,33.7066666666667,"CZ"
"87","03-27",40.16,54.1,20.65,40.86,23.28,36.44,27.37,22.57,37.69,45.62,28.36,25.39,NA,20.65,54.1,33.5408333333333,"CZ"
"88","03-28",40.42,54.13,20.14,40.78,22.84,36.33,27.31,22.21,37.61,45.24,28.36,25.65,NA,20.14,54.13,33.4183333333333,"CZ"
"89","03-29",40.54,54.16,19.69,40.77,22.4,36.18,27.27,21.89,37.62,44.8,28.26,25.9,NA,19.69,54.16,33.29,"CZ"
"90","03-30",40.71,54.13,19.28,40.69,21.93,36.03,27.25,21.58,37.74,44.18,28.25,26.03,NA,19.28,54.13,33.15,"CZ"
"91","03-31",40.91,54.12,18.85,40.61,21.48,35.88,27.28,21.37,37.78,43.53,28.25,26.09,NA,18.85,54.12,33.0125,"CZ"
"92","04-01",38.94,50.99,18.21,40.76,21.32,35.85,27.6,21.49,37.97,43.35,28.37,26.5,NA,18.21,50.99,32.6125,"CZ"
"93","04-02",39.35,50.99,17.63,40.93,21.22,35.84,27.99,21.51,38.2,43.13,28.43,26.72,NA,17.63,50.99,32.6616666666667,"CZ"
"94","04-03",39.7,51.08,17.07,41.2,21.13,35.79,28.3,21.58,38.49,43.02,28.38,27.22,NA,17.07,51.08,32.7466666666667,"CZ"
"95","04-04",40.08,51.31,16.47,41.5,21.06,35.77,28.57,21.68,38.71,43.02,28.32,27.48,NA,16.47,51.31,32.8308333333333,"CZ"
"96","04-05",40.47,51.57,15.91,41.84,21.04,35.76,28.89,21.75,38.96,43.02,28.26,27.84,NA,15.91,51.57,32.9425,"CZ"
"97","04-06",40.92,51.66,15.49,42.19,20.97,35.73,29.12,21.78,39.18,43.03,28.09,28.25,NA,15.49,51.66,33.0341666666667,"CZ"
"98","04-07",41.37,51.84,15.01,42.49,20.88,35.68,29.31,21.87,39.42,43.16,27.73,28.63,NA,15.01,51.84,33.1158333333333,"CZ"
"99","04-08",41.92,51.99,14.43,42.74,20.8,35.61,29.62,21.99,39.65,43.34,27.5,29.33,NA,14.43,51.99,33.2433333333333,"CZ"
"100","04-09",42.46,52.12,13.98,42.96,20.76,35.55,29.92,22.14,39.86,43.52,27.32,29.85,NA,13.98,52.12,33.37,"CZ"
"101","04-10",42.97,52.24,13.67,43.07,20.75,35.44,30.2,22.29,40.04,43.75,27.24,30.36,NA,13.67,52.24,33.5016666666667,"CZ"
"102","04-11",43.47,52.33,13.35,43.18,20.81,35.34,30.43,22.45,40.15,44.69,27.22,30.82,NA,13.35,52.33,33.6866666666667,"CZ"
"103","04-12",43.96,52.35,13,43.38,20.89,35.06,30.7,22.64,40.27,44.94,27.06,31.33,NA,13,52.35,33.7983333333333,"CZ"
"104","04-13",44.43,52.37,12.77,43.59,20.98,35.2,30.99,22.86,40.33,45.16,26.75,31.86,NA,12.77,52.37,33.9408333333333,"CZ"
"105","04-14",44.91,52.54,12.52,43.73,21.06,35.16,31.28,23.1,40.46,45.26,26.5,32.43,NA,12.52,52.54,34.0791666666667,"CZ"
"106","04-15",45.33,52.59,12.35,43.73,21.17,35.1,31.61,23.32,40.57,45.31,26.25,33.01,NA,12.35,52.59,34.195,"CZ"
"107","04-16",45.84,52.59,12.26,43.77,21.3,35.12,31.93,23.55,40.87,45.46,26.04,33.58,NA,12.26,52.59,34.3591666666667,"CZ"
"108","04-17",46.44,52.58,12.23,43.92,21.4,35.11,32.21,23.72,41.14,45.68,25.87,34.15,NA,12.23,52.58,34.5375,"CZ"
"109","04-18",47.06,52.66,12.23,44.22,21.52,35.07,32.35,23.95,41.46,46.03,25.78,34.71,NA,12.23,52.66,34.7533333333333,"CZ"
"110","04-19",47.71,52.8,12.3,44.58,21.62,35.06,32.34,24.25,41.92,46.34,25.73,35.26,NA,12.3,52.8,34.9925,"CZ"
"111","04-20",48.38,52.83,12.38,44.98,21.67,35.05,32.29,24.58,42.43,46.56,25.66,35.8,NA,12.38,52.83,35.2175,"CZ"
"112","04-21",49.06,52.83,12.42,45.37,21.71,34.9,32.32,24.88,43,46.86,25.68,36.35,NA,12.42,52.83,35.4483333333333,"CZ"
"113","04-22",49.92,52.88,12.42,45.64,21.78,34.87,32.6,25.19,43.56,47.16,25.66,36.92,NA,12.42,52.88,35.7166666666667,"CZ"
"114","04-23",50.8,52.93,12.42,46.01,21.88,34.89,32.77,25.55,43.97,47.47,25.64,37.54,NA,12.42,52.93,35.9891666666667,"CZ"
"115","04-24",51.7,52.99,12.5,46.4,21.98,34.92,32.93,25.81,44.31,47.77,25.64,38.15,NA,12.5,52.99,36.2583333333333,"CZ"
"116","04-25",52.53,53.12,12.61,46.82,22.23,34.92,33.13,26.11,44.79,48.13,25.64,38.68,NA,12.61,53.12,36.5591666666667,"CZ"
"117","04-26",53.31,53.32,12.78,47.4,22.48,34.92,33.16,26.35,45.28,48.43,25.57,39.19,NA,12.78,53.32,36.8491666666667,"CZ"
"118","04-27",54.09,53.61,12.93,48.01,22.62,34.92,33.18,26.59,45.83,48.66,25.49,39.75,NA,12.93,54.09,37.14,"CZ"
"119","04-28",54.85,54.13,13.09,48.47,22.67,34.97,33.31,26.88,46.34,48.9,25.45,40.24,NA,13.09,54.85,37.4416666666667,"CZ"
"120","04-29",55.56,54.72,13.11,48.88,22.71,34.99,33.4,27.15,46.69,49.14,25.46,40.75,NA,13.11,55.56,37.7133333333333,"CZ"
"121","04-30",56.31,55.32,13.19,49.29,22.77,35.09,33.56,27.42,47.01,49.43,25.54,41.23,NA,13.19,56.31,38.0133333333333,"CZ"
"122","05-01",56.87,55.87,13.31,49.89,23.23,35.41,33.76,27.72,47.39,49.94,25.85,41.35,NA,13.31,56.87,38.3825,"CZ"
"123","05-02",57.29,56.23,13.4,50.46,23.64,35.71,33.86,28,47.68,50.44,26.16,42.03,NA,13.4,57.29,38.7416666666667,"CZ"
"124","05-03",57.58,56.47,13.46,50.87,24.02,35.93,34,28.25,48.01,50.91,26.39,42.72,NA,13.46,57.58,39.0508333333333,"CZ"
"125","05-04",57.69,56.68,13.54,51.26,24.42,36.2,34.24,28.59,48.31,51.29,26.57,43.4,NA,13.54,57.69,39.3491666666667,"CZ"
"126","05-05",58.06,56.88,13.61,51.46,24.78,36.65,34.41,29.01,48.6,51.76,26.67,44.1,NA,13.61,58.06,39.6658333333333,"CZ"
"127","05-06",58.5,56.93,13.69,51.75,25.25,36.74,34.69,29.42,48.81,52.12,26.7,44.83,NA,13.69,58.5,39.9525,"CZ"
"128","05-07",59.1,57.11,13.71,52.24,25.67,37.2,34.98,29.83,49.07,52.57,26.64,45.56,NA,13.71,59.1,40.3066666666667,"CZ"
"129","05-08",59.69,57.32,13.72,52.82,26.1,37.65,35.27,30.22,49.35,53.23,26.85,46.27,NA,13.72,59.69,40.7075,"CZ"
