"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"41","02-10",36.54,38.14,38.38,51.63,50.17,45.49,30.77,34.61,31.12,43.25,53.31,29.57,NA,30.77,51.63,40.2483333333333,"LV"
"42","02-11",35.72,37.23,38.01,51.14,49.72,45.08,30.47,34.31,30.87,42.9,52.4,29.22,NA,30.47,51.14,39.7558333333333,"LV"
"43","02-12",34.89,36.36,37.63,50.66,49.27,44.67,30.18,34.02,30.58,42.5,51.56,28.92,NA,30.18,50.66,39.27,"LV"
"44","02-13",33.99,35.53,37.27,50.18,48.83,44.26,29.88,33.75,30.3,42.12,50.89,28.67,NA,29.88,50.18,38.8058333333333,"LV"
"45","02-14",33.04,34.77,36.91,49.7,48.4,43.87,29.59,33.47,30.07,41.73,50.25,28.4,NA,29.59,49.7,38.35,"LV"
"46","02-15",32.07,34.01,36.53,49.25,47.95,43.44,29.3,33.11,29.76,41.4,49.49,28.03,NA,29.3,49.25,37.8616666666667,"LV"
"47","02-16",31.11,33.21,36.14,48.82,47.43,43.01,29.03,32.76,29.41,41.09,48.7,27.68,NA,29.03,48.82,37.3658333333333,"LV"
"48","02-17",30.17,32.46,35.74,48.37,46.91,42.54,28.8,32.42,29.08,40.81,47.77,27.21,NA,28.8,48.37,36.8566666666667,"LV"
"49","02-18",29.2,31.76,35.22,47.9,46.43,42.11,28.57,32.05,28.7,40.51,46.88,26.76,NA,28.57,47.9,36.3408333333333,"LV"
"50","02-19",28.24,31.11,34.62,47.45,45.98,41.7,28.36,31.52,28.34,40.14,46.03,26.36,NA,28.24,47.45,35.8208333333333,"LV"
"51","02-20",27.3,30.53,34.04,47.02,45.54,41.3,28.11,30.97,27.98,39.68,45.31,26.1,NA,27.3,47.02,35.3233333333333,"LV"
"52","02-21",26.37,29.97,33.45,46.58,45.15,40.9,27.84,30.39,27.53,39.29,44.68,25.64,NA,26.37,46.58,34.8158333333333,"LV"
"53","02-22",25.44,29.41,32.85,46.15,44.75,40.54,27.59,29.83,27.07,38.93,44.06,25.08,NA,25.44,46.15,34.3083333333333,"LV"
"54","02-23",24.51,28.84,32.31,45.74,44.35,40.18,27.38,29.31,26.7,38.57,43.39,24.63,NA,24.51,45.74,33.8258333333333,"LV"
"55","02-24",23.57,28.3,31.8,45.45,44.06,39.77,27.14,28.84,26.37,38.17,42.72,24.53,NA,23.57,45.45,33.3933333333333,"LV"
"56","02-25",22.64,27.76,31.34,44.97,43.78,39.36,26.9,28.37,26.03,37.75,42.18,24.67,NA,22.64,44.97,32.9791666666667,"LV"
"57","02-26",21.77,27.19,30.88,44.5,43.49,38.96,26.69,27.81,25.68,37.33,41.62,24.75,NA,21.77,44.5,32.5558333333333,"LV"
"58","02-27",20.97,26.62,30.47,44.07,43.24,38.57,26.48,27.24,25.33,36.85,41.06,24.89,NA,20.97,44.07,32.1491666666667,"LV"
"59","02-28",20.16,26.11,30.06,43.65,43,38.2,26.31,26.52,24.95,36.46,40.47,24.95,NA,20.16,43.65,31.7366666666667,"LV"
"60","02-29",NA,25.66,NA,NA,NA,37.76,NA,NA,NA,36.12,NA,NA,NA,NA,NA,NA,"LV"
"61","03-01",19.39,25.22,29.62,43.23,42.75,37.28,26.12,25.77,24.48,35.84,39.93,25.17,NA,19.39,43.23,31.2333333333333,"LV"
"62","03-02",18.73,24.78,29.13,42.85,42.49,36.82,25.91,25.11,24.06,35.64,39.4,25.38,NA,18.73,42.85,30.8583333333333,"LV"
"63","03-03",18.01,24.33,28.6,42.45,42.13,36.39,25.72,24.45,23.68,35.43,38.83,25.6,NA,18.01,42.45,30.4683333333333,"LV"
"64","03-04",17.35,23.85,28.13,42.01,41.79,35.96,25.56,23.8,23.34,35.2,38.3,25.84,NA,17.35,42.01,30.0941666666667,"LV"
"65","03-05",16.81,23.34,27.71,41.54,41.45,35.57,25.35,23.16,23.06,35.04,37.74,26.08,NA,16.81,41.54,29.7375,"LV"
"66","03-06",16.27,22.83,27.12,41.09,41.14,35.19,25.03,22.55,22.66,34.89,37.23,26.35,NA,16.27,41.14,29.3625,"LV"
"67","03-07",15.76,22.2,26.44,40.7,40.88,34.82,24.71,22,22.34,34.75,36.65,26.64,NA,15.76,40.88,28.9908333333333,"LV"
"68","03-08",15.27,21.56,25.76,40.39,40.66,34.42,24.41,21.49,22.06,34.61,36,26.86,NA,15.27,40.66,28.6241666666667,"LV"
"69","03-09",14.85,20.96,25.1,40.07,40.41,33.98,24.13,21.23,21.78,34.46,35.33,27.07,NA,14.85,40.41,28.2808333333333,"LV"
"70","03-10",14.46,20.41,24.43,39.81,40.09,33.55,23.89,21.02,21.45,34.32,34.67,27.31,NA,14.46,40.09,27.9508333333333,"LV"
"71","03-11",13.95,19.86,23.73,39.46,39.77,33.15,23.67,20.84,21.06,34.17,34.11,27.58,NA,13.95,39.77,27.6125,"LV"
"72","03-12",13.45,19.32,23.04,39.17,39.45,32.77,23.44,20.63,20.64,34.03,33.6,27.87,NA,13.45,39.45,27.2841666666667,"LV"
"73","03-13",12.98,18.95,22.36,38.91,39.16,32.39,23.19,20.44,20.26,33.88,33.04,28.11,NA,12.98,39.16,26.9725,"LV"
"74","03-14",12.51,18.57,21.66,38.66,38.87,32,22.96,20.17,19.91,33.7,32.5,28.34,NA,12.51,38.87,26.6541666666667,"LV"
"75","03-15",11.97,18.21,20.98,38.41,38.59,31.62,22.74,19.86,19.58,33.54,31.98,28.61,NA,11.97,38.59,26.3408333333333,"LV"
"76","03-16",11.38,17.77,20.34,38.13,38.3,31.28,22.52,19.52,19.28,33.4,31.58,28.91,NA,11.38,38.3,26.0341666666667,"LV"
"77","03-17",10.81,17.28,19.7,37.76,38.06,30.92,22.32,19.24,19,33.25,31.13,29.28,NA,10.81,38.06,25.7291666666667,"LV"
