"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"23","01-23",63.15,70.47,60.16,62.8,60.94,57.34,46.67,52.61,57.6,76.16,56.7,41.49,NA,46.67,76.16,58.8408333333333,"EU"
"24","01-24",62.64,70.02,59.41,62.29,60.3,56.9,45.82,52.16,56.92,75.42,56.14,40.82,NA,45.82,75.42,58.2366666666667,"EU"
"25","01-25",62.16,69.59,58.66,61.95,59.69,56.45,44.96,51.6,56.2,74.81,55.35,40.11,NA,44.96,74.81,57.6275,"EU"
"26","01-26",61.63,69.11,58.08,61.62,58.99,56.04,44.11,51.03,55.74,74.28,54.58,39.45,NA,44.11,74.28,57.055,"EU"
"27","01-27",61.11,68.64,57.55,61.08,58.28,55.64,43.33,50.64,55.35,73.67,53.8,38.88,NA,43.33,73.67,56.4975,"EU"
"28","01-28",60.53,68.23,56.89,60.55,57.58,55.24,42.79,50.36,54.71,72.94,53.15,38.34,NA,42.79,72.94,55.9425,"EU"
"29","01-29",60.04,67.82,56.37,59.98,56.83,54.87,42.26,49.91,54.04,72.3,52.6,37.99,NA,42.26,72.3,55.4175,"EU"
"30","01-30",59.56,67.21,55.93,59.36,56.09,54.58,41.66,49.39,53.32,71.87,52.09,37.65,NA,41.66,71.87,54.8925,"EU"
"31","01-31",58.94,66.43,55.54,58.84,55.47,54.32,41.03,48.85,52.6,71.37,51.51,37.11,NA,41.03,71.37,54.3341666666667,"EU"
"32","02-01",58.28,65.57,55.12,58.53,54.84,54.02,40.56,48.3,51.98,71.19,50.85,36.68,NA,40.56,71.19,53.8266666666667,"EU"
"33","02-02",57.67,64.62,54.77,57.75,54.03,53.69,40.13,47.71,51.52,70.99,50.26,36.26,NA,40.13,70.99,53.2833333333333,"EU"
"34","02-03",57.15,63.6,54.39,57.32,53.17,53.5,39.76,47.2,51.07,70.62,49.79,35.86,NA,39.76,70.62,52.7858333333333,"EU"
"35","02-04",56.77,62.59,53.89,57.37,52.32,53.07,39.48,46.64,50.46,70.16,49.28,35.53,NA,39.48,70.16,52.2966666666667,"EU"
"36","02-05",56.58,61.65,53.34,56.98,51.47,52.69,39.18,45.83,49.87,69.61,48.79,35.29,NA,39.18,69.61,51.7733333333333,"EU"
"37","02-06",56.42,60.63,52.8,56.63,50.61,52.44,38.66,44.95,49.19,68.98,48.4,35.08,NA,38.66,68.98,51.2325,"EU"
"38","02-07",56.13,59.59,52.19,56.32,49.82,52.2,38.1,44.06,48.9,68.47,47.86,34.7,NA,38.1,68.47,50.695,"EU"
"39","02-08",55.84,58.58,51.57,56.07,49.11,51.88,37.47,43.2,48.49,68.07,47.04,34.34,NA,37.47,68.07,50.1383333333333,"EU"
"40","02-09",55.52,57.59,51.02,55.82,48.33,51.53,36.74,42.42,48.22,67.78,46.15,34,NA,36.74,67.78,49.5933333333333,"EU"
"41","02-10",55.18,56.65,50.49,55.42,47.6,51.13,36,41.88,47.95,67.44,45.25,33.6,NA,36,67.44,49.0491666666667,"EU"
"42","02-11",54.88,55.78,49.79,55.03,46.84,50.71,35.45,41.4,47.44,67.06,44.35,33.2,NA,35.45,67.06,48.4941666666667,"EU"
"43","02-12",54.64,54.97,49.09,54.66,46.1,50.3,35.06,40.69,46.99,66.48,43.44,32.87,NA,35.06,66.48,47.9408333333333,"EU"
"44","02-13",54.42,54.07,48.35,54.27,45.44,50.01,34.56,39.96,46.52,65.95,42.59,32.62,NA,34.56,65.95,47.3966666666667,"EU"
"45","02-14",54.03,53.34,47.67,53.95,44.88,49.74,34,39.3,46.13,65.52,41.82,32.28,NA,34,65.52,46.8883333333333,"EU"
"46","02-15",53.64,52.78,47.13,53.72,44.36,49.29,33.56,38.66,45.82,65.32,41.03,31.93,NA,33.56,65.32,46.4366666666667,"EU"
"47","02-16",53.2,52.3,46.73,53.5,43.68,48.78,33.13,38.06,45.65,65.17,40.43,31.64,NA,33.13,65.17,46.0225,"EU"
"48","02-17",52.81,51.94,46.42,53.16,42.99,48.23,32.73,37.58,45.17,64.85,39.96,31.41,NA,32.73,64.85,45.6041666666667,"EU"
"49","02-18",52.52,51.71,45.86,52.85,42.27,47.71,32.48,37.1,45.27,64.47,39.51,31.19,NA,32.48,64.47,45.245,"EU"
"50","02-19",52.34,51.48,45.48,52.6,41.57,47.28,32.22,36.41,45.01,64.05,39.08,30.98,NA,32.22,64.05,44.875,"EU"
"51","02-20",52.08,51.05,44.82,52.34,40.9,47.02,31.79,35.73,44.72,63.7,38.82,30.82,NA,31.79,63.7,44.4825,"EU"
"52","02-21",51.6,50.67,44.08,52.11,40.32,46.84,31.52,34.99,43.6,63.34,38.63,30.51,NA,31.52,63.34,44.0175,"EU"
"53","02-22",51.03,50.34,43.31,51.94,39.79,46.59,31.26,34.21,43.53,63.12,38.27,30.19,NA,31.26,63.12,43.6316666666667,"EU"
"54","02-23",50.45,50.06,42.63,51.78,39.22,46.28,30.96,33.45,43.35,62.96,37.98,29.92,NA,30.96,62.96,43.2533333333333,"EU"
"55","02-24",49.87,49.85,42,51.54,38.63,45.9,30.57,32.77,43.17,62.66,37.79,29.68,NA,30.57,62.66,42.8691666666667,"EU"
"56","02-25",49.4,49.75,41.3,51.29,38.07,45.44,30.29,32.04,42.9,62.34,37.54,29.46,NA,30.29,62.34,42.485,"EU"
"57","02-26",49.07,49.65,40.65,51.02,37.55,45,30.1,31.05,42.73,61.83,37.3,29.3,NA,30.1,61.83,42.1041666666667,"EU"
"58","02-27",48.79,49.39,40.04,50.75,37.02,44.67,29.82,30.05,42.55,61.28,37.1,29.16,NA,29.82,61.28,41.7183333333333,"EU"
"59","02-28",48.49,49.13,39.5,50.46,36.55,44.37,29.47,28.97,42.35,60.83,36.86,28.82,NA,28.97,60.83,41.3166666666667,"EU"
"60","02-29",NA,48.89,NA,NA,NA,43.94,NA,NA,NA,60.62,NA,NA,NA,NA,NA,NA,"EU"
"61","03-01",48.09,48.72,39.04,50.42,36.22,43.47,29.14,28,42.24,60.41,36.5,28.49,NA,28,60.41,40.895,"EU"
"62","03-02",47.66,48.59,38.67,50.25,35.76,43.11,28.84,27.09,42.26,59.97,36.18,28.18,NA,27.09,59.97,40.5466666666667,"EU"
"63","03-03",47.2,48.52,38.31,50,35.24,42.68,28.59,26.33,42.3,59.55,35.85,27.89,NA,26.33,59.55,40.205,"EU"
"64","03-04",46.84,48.42,37.89,49.72,34.72,42.23,28.5,25.8,42.21,59.13,35.47,27.63,NA,25.8,59.13,39.88,"EU"
"65","03-05",46.63,48.17,37.54,49.49,34.22,41.9,28.41,25.24,42.09,58.67,35.06,27.46,NA,25.24,58.67,39.5733333333333,"EU"
"66","03-06",46.5,47.86,37.23,49.28,33.82,41.58,28.13,24.72,42.01,58.31,34.74,27.26,NA,24.72,58.31,39.2866666666667,"EU"
"67","03-07",46.18,47.43,36.98,49.14,33.56,41.09,27.78,23.83,41.93,58.12,34.42,26.91,NA,23.83,58.12,38.9475,"EU"
"68","03-08",45.87,47.18,36.77,49.06,33.36,40.62,27.52,23.76,41.87,57.98,33.97,26.61,NA,23.76,57.98,38.7141666666667,"EU"
"69","03-09",45.55,46.99,36.62,49.03,33.06,40.18,27.33,23.42,41.9,57.66,33.52,26.37,NA,23.42,57.66,38.4691666666667,"EU"
"70","03-10",45.31,46.88,36.42,48.93,32.81,39.77,27.18,23.29,41.92,57.42,33.19,26.28,NA,23.29,57.42,38.2833333333333,"EU"
"71","03-11",45.11,46.82,36.02,48.78,32.53,39.38,27.14,23.22,41.76,57.27,32.99,26.18,NA,23.22,57.27,38.1,"EU"
"72","03-12",45.05,46.68,35.49,48.64,32.22,39.14,27.1,23.01,41.54,57.14,33.02,26.18,NA,23.01,57.14,37.9341666666667,"EU"
"73","03-13",45.01,46.57,34.9,48.46,31.9,38.9,26.89,22.79,41.34,56.91,32.72,26.17,NA,22.79,56.91,37.7133333333333,"EU"
"74","03-14",44.93,46.47,34.29,48.4,31.61,38.56,26.71,22.58,41.19,56.76,32.59,26,NA,22.58,56.76,37.5075,"EU"
"75","03-15",44.84,46.4,33.71,48.4,31.33,38.16,26.57,22.33,41.13,56.71,32.34,25.85,NA,22.33,56.71,37.3141666666667,"EU"
"76","03-16",44.71,46.38,33.3,48.43,31.01,37.76,26.5,22.1,41.15,56.54,32.06,25.76,NA,22.1,56.54,37.1416666666667,"EU"
"77","03-17",44.58,46.43,32.94,48.38,30.76,37.41,26.41,21.76,41.19,56.37,31.76,25.69,NA,21.76,56.37,36.9733333333333,"EU"
"78","03-18",44.49,46.47,32.43,48.36,30.52,37.12,26.43,21.31,41.01,56.27,31.39,25.64,NA,21.31,56.27,36.7866666666667,"EU"
"79","03-19",44.42,46.42,32,48.34,30.27,36.95,26.48,20.73,40.81,56.17,31.06,25.54,NA,20.73,56.17,36.5991666666667,"EU"
"80","03-20",44.38,46.39,31.54,48.36,29.99,36.8,26.37,20.2,40.64,56.12,30.84,25.74,NA,20.2,56.12,36.4475,"EU"
"81","03-21",44.25,46.44,31.14,48.4,29.77,36.54,26.33,19.71,40.56,56.01,30.67,25.58,NA,19.71,56.01,36.2833333333333,"EU"
"82","03-22",44.13,46.46,30.78,48.44,29.52,36.31,26.19,19.26,40.6,55.93,30.37,25.58,NA,19.26,55.93,36.1308333333333,"EU"
"83","03-23",44.05,46.53,30.4,48.29,29.22,36.08,26.1,18.9,40.76,55.68,30.12,25.61,NA,18.9,55.68,35.9783333333333,"EU"
"84","03-24",44.01,46.64,29.99,48.14,28.96,35.88,26.03,18.74,40.77,55.45,29.95,25.73,NA,18.74,55.45,35.8575,"EU"
"85","03-25",43.91,46.78,29.46,47.9,28.67,35.75,26.09,18.66,40.98,55.18,29.85,25.84,NA,18.66,55.18,35.7558333333333,"EU"
"86","03-26",43.95,46.85,28.92,47.7,28.43,35.74,26.12,18.44,40.93,54.94,29.86,26.08,NA,18.44,54.94,35.6633333333333,"EU"
"87","03-27",44,46.9,28.42,47.56,28.19,35.72,26.03,18.18,40.86,54.81,29.93,26.28,NA,18.18,54.81,35.5733333333333,"EU"
"88","03-28",43.95,46.96,27.99,47.52,28.1,35.68,25.99,17.97,40.83,54.82,29.95,26.38,NA,17.97,54.82,35.5116666666667,"EU"
"89","03-29",43.94,47.04,27.65,47.61,28.04,35.56,26.01,17.79,40.98,54.68,29.97,26.48,NA,17.79,54.68,35.4791666666667,"EU"
"90","03-30",43.95,47.15,27.42,47.76,27.88,35.46,26.09,17.72,41.2,54.48,30.13,26.5,NA,17.72,54.48,35.4783333333333,"EU"
"91","03-31",44.12,47.25,27.23,47.84,27.68,35.2,26.05,18.35,41.31,54.17,30.06,26.29,NA,18.35,54.17,35.4625,"EU"
"92","04-01",44.43,43.17,26.7,47.96,27.48,34.9,26.48,18.5,43.93,54.35,30.62,26.55,NA,18.5,54.35,35.4225,"EU"
"93","04-02",44.63,43.19,26.31,47.99,27.29,35.03,26.8,18.53,43.86,54.32,30.8,26.51,NA,18.53,54.32,35.4383333333333,"EU"
"94","04-03",44.88,43.27,26.02,47.81,27.2,35.25,26.97,18.57,43.92,54.32,31,26.46,NA,18.57,54.32,35.4725,"EU"
"95","04-04",45.07,43.34,25.71,47.93,27.16,35.4,27.13,18.74,43.8,54.48,31.19,26.37,NA,18.74,54.48,35.5266666666667,"EU"
"96","04-05",45.26,43.42,25.44,48.13,27.14,35.32,27.26,18.75,43.84,54.7,31.28,26.3,NA,18.75,54.7,35.57,"EU"
"97","04-06",45.49,43.56,25.3,48.36,27.11,35.96,27.32,18.85,44.08,54.97,31.11,26.42,NA,18.85,54.97,35.7108333333333,"EU"
"98","04-07",45.72,43.72,25.21,48.62,26.97,36.18,27.42,19.09,44.38,55.19,30.83,26.57,NA,19.09,55.19,35.825,"EU"
"99","04-08",46,43.85,24.97,48.77,26.86,36.23,27.62,19.38,44.54,55.46,30.59,26.75,NA,19.38,55.46,35.9183333333333,"EU"
"100","04-09",46.29,43.96,24.81,48.88,26.85,36.37,27.93,18.69,44.67,55.78,30.44,26.93,NA,18.69,55.78,35.9666666666667,"EU"
"101","04-10",46.59,44,24.69,48.98,26.87,36.57,28.13,18.8,44.74,56.13,30.4,27.15,NA,18.8,56.13,36.0875,"EU"
"102","04-11",46.73,44,24.69,49.09,26.93,36.72,28.31,18.89,44.77,56.53,30.41,27.26,NA,18.89,56.53,36.1941666666667,"EU"
"103","04-12",46.97,44.04,24.68,49.29,27,36.86,28.47,18.96,42.77,56.99,30.15,27.49,NA,18.96,56.99,36.1391666666667,"EU"
"104","04-13",46.52,44.09,24.83,49.49,27.01,36.98,28.63,19.08,42.86,57.26,29.86,27.45,NA,19.08,57.26,36.1716666666667,"EU"
"105","04-14",46.71,44.2,25.08,49.65,27.08,37.09,28.86,19.34,41.72,57.53,29.59,28.06,NA,19.34,57.53,36.2425,"EU"
"106","04-15",46.87,44.32,25.26,49.71,27.19,37.22,29.13,19.72,43.05,57.74,29.35,28.47,NA,19.72,57.74,36.5025,"EU"
"107","04-16",47.11,44.33,25.48,49.8,27.3,37.42,29.36,19.93,43.23,58.03,29.21,28.9,NA,19.93,58.03,36.675,"EU"
