"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"41","02-10",65.83,75.44,63.14,79.8,46.81,52.89,27.17,35.97,53.14,60.28,38.62,24.77,NA,27.17,79.8,51.9883333333333,"NL"
"42","02-11",65.46,74.66,62.28,79.74,45.97,52.49,26.43,35.18,52.42,59.75,37.43,24.45,NA,26.43,79.74,51.355,"NL"
"43","02-12",64.95,74.12,61.4,79.58,45.18,52.09,25.76,34.18,52.02,59.17,36.28,24.24,NA,25.76,79.58,50.7475,"NL"
"44","02-13",64.71,73.42,60.54,79.45,44.42,51.74,25.04,33.22,51.47,58.59,35.12,24.04,NA,25.04,79.45,50.1466666666667,"NL"
"45","02-14",64.47,72.97,59.84,79.35,43.71,51.4,24.32,32.31,51.11,58.18,34.18,23.86,NA,24.32,79.35,49.6416666666667,"NL"
"46","02-15",64.2,72.7,59.23,79.23,42.95,50.88,23.81,31.38,50.8,58.09,33.3,23.58,NA,23.81,79.23,49.1791666666667,"NL"
"47","02-16",63.91,72.35,58.75,79.13,42.13,50.24,23.23,30.55,50.74,58.04,32.64,23.5,NA,23.23,79.13,48.7675,"NL"
"48","02-17",63.73,72.15,58.22,79.05,41.38,49.66,22.79,29.77,47.64,57.84,32.29,23.43,NA,22.79,79.05,48.1625,"NL"
"49","02-18",63.58,72.17,57.48,78.89,40.56,49.07,22.52,28.96,50.64,57.55,32.1,23.26,NA,22.52,78.89,48.065,"NL"
"50","02-19",63.47,72.14,56.8,78.77,39.76,48.54,22.25,27.97,50.56,57.07,31.84,23.09,NA,22.25,78.77,47.6883333333333,"NL"
"51","02-20",63.26,72.01,56.03,78.72,38.97,48.26,21.97,27.12,50.4,56.64,31.74,22.93,NA,21.97,78.72,47.3375,"NL"
"52","02-21",63,71.78,55.19,78.68,38.22,48.03,21.81,26.18,49.01,56.3,31.61,22.63,NA,21.81,78.68,46.87,"NL"
"53","02-22",62.69,71.65,54.49,78.6,37.52,47.68,21.61,25.39,50.22,56.16,31.39,22.33,NA,21.61,78.6,46.6441666666667,"NL"
"54","02-23",62.47,71.57,53.74,78.5,37,47.22,21.31,24.66,50.17,56,31.25,22.12,NA,21.31,78.5,46.3341666666667,"NL"
"55","02-24",62.28,71.52,53.04,78.43,36.43,46.71,20.91,23.84,50.15,55.67,31.28,21.76,NA,20.91,78.43,46.0016666666667,"NL"
"56","02-25",62.3,71.55,52.35,78.38,35.71,46.21,20.55,23.03,50.07,55.32,31.11,21.55,NA,20.55,78.38,45.6775,"NL"
"57","02-26",62.32,71.55,51.91,78.18,34.97,45.75,20.35,21.87,50.03,54.69,30.97,21.47,NA,20.35,78.18,45.3383333333333,"NL"
"58","02-27",62.2,71.43,51.54,78.06,34.25,45.44,20.08,20.77,49.95,54.11,30.75,21.46,NA,20.08,78.06,45.0033333333333,"NL"
"59","02-28",62.06,71.34,51.21,77.99,33.64,45.1,19.65,19.4,49.9,53.76,30.52,21.28,NA,19.4,77.99,44.6541666666667,"NL"
"60","02-29",NA,71.08,NA,NA,NA,44.66,NA,NA,NA,53.55,NA,NA,NA,NA,NA,NA,"NL"
"61","03-01",61.94,70.9,50.98,77.85,33.17,43.73,19.22,18.26,49.84,53.11,30.12,21.07,NA,18.26,77.85,44.1825,"NL"
"62","03-02",61.79,70.79,50.77,77.72,32.73,43.05,18.84,17.31,49.92,52.67,29.84,20.9,NA,17.31,77.72,43.8608333333333,"NL"
"63","03-03",61.46,70.8,50.52,77.47,32.19,42.29,18.6,15.95,50.03,52.16,29.59,20.72,NA,15.95,77.47,43.4816666666667,"NL"
"64","03-04",61.23,70.78,50.14,77.23,31.68,41.47,18.67,15.35,50.11,51.57,29.05,20.54,NA,15.35,77.23,43.1516666666667,"NL"
"65","03-05",61.08,70.62,49.91,77.08,31.19,40.94,18.64,14.92,50.22,51.07,28.56,20.44,NA,14.92,77.08,42.8891666666667,"NL"
"66","03-06",61.05,70.33,49.73,76.9,30.78,40.33,18.25,14.57,50.38,50.65,28.2,20.26,NA,14.57,76.9,42.6191666666667,"NL"
"67","03-07",60.98,70.1,49.55,76.9,30.64,39.4,17.81,14.12,50.16,50.36,27.78,20.02,NA,14.12,76.9,42.3183333333333,"NL"
"68","03-08",60.92,69.94,49.38,76.93,30.53,38.73,17.45,13.66,50.11,50.02,27.33,19.98,NA,13.66,76.93,42.0816666666667,"NL"
